franchisee_name,name_variants,first_name,total_units,brands_operated,brand_count,is_multi_brand,primary_state,all_states,tier,instantly_sequence,messaging_note,apollo_search_hint,apollo_company,apollo_email,apollo_linkedin,apollo_title,restaurant_phone,sample_address
"Apple Ab Enterprises, Inc.",,Apple,15,Applebee's | IHOP,2,Yes,CA,CA | OR,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Apple Ab Enterprises, Inc. Applebee's franchisee CA",,,,,(707) 462-7010,1201 Airport Park Blvd.
"Compass Group, Usa, Inc.","Compass Group Usa, Inc. / Compass Group, Usa, Inc.",Compass,15,Bojangles | Buffalo Wild Wings | Jimmy John's | KFC | Pizza Hut,5,Yes,TX,FL | IN | MO | NC | TX | VA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Compass Group, Usa, Inc. Bojangles franchisee TX",,,,,704-687-0692,901 University City Boulevard
"Cornerstone Network, Inc.",,Cornerstone,15,Burger King,1,No,CA,CA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Cornerstone Network, Inc. Burger King franchisee CA",,,,,(760) 565-8361,621 Montara Rd
"Redrock Foods, Ltd. Co.",,Redrock,15,Burger King,1,No,NM,CO | NM,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Redrock Foods, Ltd. Co. Burger King franchisee NM",,,,,(719) 589-5538,2501 West Main
"Jones Petroleum Company, Inc.*","Jones Petroleum Company, Inc. / Jones Petroleum Company, Inc.*",Jones,15,Burger King,1,No,GA,GA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Jones Petroleum Company, Inc.* Burger King franchisee GA",,,,,(470) 739-8543,2430 Monroe Hwy
Dakota Restaurant Partners Inc.,,Dakota,15,Burger King,1,No,ND,MN | MT | ND | SD,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Dakota Restaurant Partners Inc. Burger King franchisee ND,,,,,(218) 303-5818,2412 Eighth St South
Mrb Holdings Corporation,,Mrb,15,Burger King,1,No,NV,NV,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Mrb Holdings Corporation Burger King franchisee NV,,,,,(775) 884-3366,3589 North Carson St
"Kingdom Restaurants, Llc",,Kingdom,15,Burger King,1,No,SC,SC,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Kingdom Restaurants, Llc Burger King franchisee SC",,,,,(843) 438-9196,1646 Church St
Yogiraj Eight Llc,Yogiraj 12 Llc / Yogiraj 14 Llc / Yogiraj 17 Llc / Yogiraj 18 Llc / Yogiraj 19 Llc / Yogiraj Eight Llc / Yogiraj Five Llc / Yogiraj Four Llc / Yogiraj Nine Llc / Yogiraj One Llc / Yogiraj Seven Llc / Yogiraj Six Llc / Yogiraj Ten Llc / Yogiraj Three Llc / Yogiraj Two Llc,Yogiraj,15,Dairy Queen,1,No,FL,FL,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Yogiraj Eight Llc Dairy Queen franchisee FL,,,,,4078868558,803 E Semoran Blvd
Thericheson 3 Group Llc,Thericheson 3 Group Llc / Thericheson Group Llc,Thericheson,15,Dairy Queen,1,No,TX,TX,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Thericheson 3 Group Llc Dairy Queen franchisee TX,,,,,3256770406,1626 State Highway 351
"Kline, Daniel H",,"Kline,",15,Domino's,1,No,SC,GA | SC,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Kline, Daniel H Domino's franchisee SC",,,,,(706) 250-9000,3722 Mike Padgett Hwy
"Hightower, Rhett D. H.",,"Hightower,",15,Domino's,1,No,MT,ID | MT,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Hightower, Rhett D. H. Domino's franchisee MT",,,,,(208) 618-2277,608 N. Spokane St.
"Reisch, Christian J.",,"Reisch,",15,Domino's,1,No,KY,KY,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Reisch, Christian J. Domino's franchisee KY",,,,,(859) 300-6464,125 Towne Center Drive Suite 127
"Sharma, Yash P.","Sharma, Yash / Sharma, Yash P.","Sharma,",15,Domino's,1,No,NY,NY,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Sharma, Yash P. Domino's franchisee NY",,,,,(516) 822-0030,157 Levittown Pkwy.
"Gollhardt, Seth R.",,"Gollhardt,",15,Domino's,1,No,PA,PA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Gollhardt, Seth R. Domino's franchisee PA",,,,,(570) 383-3000,1578 Main Street
"Dain, Katherine Frances",,"Dain,",15,Domino's,1,No,TX,TX,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Dain, Katherine Frances Domino's franchisee TX",,,,,(361) 668-6400,1100 Front Street
"Brown, Randy L.","Brown, Randy / Brown, Randy L.","Brown,",15,Domino's,1,No,TX,TX,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Brown, Randy L. Domino's franchisee TX",,,,,(409) 670-9696,7166 Highway 87 N
"Burton, Nathaniel P.",,"Burton,",15,Domino's,1,No,WI,WI,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Burton, Nathaniel P. Domino's franchisee WI",,,,,(262) 771-0707,8115 Sheridan Rd.
"Mesk Investment #2047, Llc","Mesk Investment #2047, Llc / Mesk Investment 2129, Llc / Mesk Investment 3430, Llc / Mesk Investment 3440, Llc / Mesk Investment 3634 Llc / Mesk Investment 3639 Llc / Mesk Investment 3708 Llc / Mesk Investment 3835, Llc / Mesk Investment 3851, Llc / Mesk Investment 3853, Llc / Mesk Investment 3865 Llc / Mesk Investment 628, Llc / Mesk Investment 664 Llc / Mesk Investment Nw, Llc",Mesk,15,IHOP,1,No,WA,WA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Mesk Investment #2047, Llc IHOP franchisee WA",,,,,4252520717,3710 Broadway
"Valley Juice Alameda, Llc","Valley Juice Alameda, Llc / Valley Juice Oakland Llc / Valley Juice, Llc",Valley,15,Jamba,1,No,CALIFORNIA,CALIFORNIA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Valley Juice Alameda, Llc Jamba franchisee CALIFORNIA",,,,,510.521.1112,2306 South Shore Center
Juicecrafters Inc.,,Juicecrafters,15,Jamba,1,No,CALIFORNIA,CALIFORNIA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Juicecrafters Inc. Jamba franchisee CALIFORNIA,,,,,626.334.1268,832 East Alosta Avenue
"Susu Hospitality Group, Llc",,Susu,15,Jamba,1,No,ILLINOIS,ILLINOIS,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Susu Hospitality Group, Llc Jamba franchisee ILLINOIS",,,,,312.474.0350,"500 W. Madison St., #C007"
"Stinler, Inc.",,"Stinler,",15,Jimmy John's,1,No,KY,IN | KY | OH,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Stinler, Inc. Jimmy John's franchisee KY",,,,,812-402-9944,130 N St. Joseph Ave
