state,entity_name,matched,entity_number,status,entity_type,formation_date,jurisdiction,agent_name,agent_is_individual,principal_address,mailing_address,agent_address,likely_owner_name,operator_pattern,multi_entity_operator,name_similarity,score,brands_operated,total_units
CA,"California Food Management, Llc",Y,201021810240,Active,Limited Liability Company - CA,08/05/2010,CALIFORNIA,MASOUD MICHAEL AMINPOUR,True,"8306 WILSHIRE BLVD #5002, BEVERLY HILLS, CA 90211","8306 WILSHIRE BLVD #5002, BEVERLY HILLS,CA90211","6404 WILSHIRE BLVD #999, LOS ANGELES, CA  90048",MASOUD MICHAEL AMINPOUR (no addr match),individual_agent_offsite,,1.000,,,
CA,Rbd California Restaurants Limited,Y,4537797,Active,Stock Corporation - CA - General,12/18/2019,CALIFORNIA,"GKL CORPORATE/SEARCH, INC.",False,"13191 CROSSROADS PARKWAY NORTH, SUITE 175, CITY OF INDUSTRY, CA 91746","13191 CROSSROADS PARKWAY NORTH, SUITE 175, CITY OF INDUSTRY,CA91746",,,service_agent,,1.000,,,
CA,"Wingmen V, Llc",Y,201300910189,Active,Limited Liability Company - Out of State,12/03/2012,WASHINGTON,C T CORPORATION SYSTEM,False,"111 WEST 39TH ST, VANCOUVER, WA 98660","111 WEST 39TH ST, VANCOUVER,WA98660",,,service_agent,,1.000,,,
CA,"Southern Pacpizza, Llc",Y,201234110028,,,,,,True,"950 THIRD AVE 24TH FL, NEW YORK, NY 10022","950 THIRD AVE 24TH FL, NEW YORK,NY10022",AGENT RESIGNED OR INVALID,,unknown,,1.000,,,
CA,Apple Socal Ii Llc,Y,201426610244,Active,Limited Liability Company - Out of State,09/22/2014,DELAWARE,CSC - LAWYERS INCORPORATING SERVICE,False,"225 BUSH STREET STE 1800, SAN FRANCISCO, CA 94104","6200 OAK TREE BLVD STE 250, INDEPENDENCE,OH44131",,,service_agent,shared_principal_address:2,1.000,,,
CA,"Whirld Concepts, Inc.",Y,3579500,Active,Stock Corporation - CA - General,06/19/2013,CALIFORNIA,HOLDEN W STEIN,True,"1671 E MONTE VISTA AVE, STE 201, VACAVILLE, CA 95688","1671 E MONTE VISTA AVE, STE 201, VACAVILLE,CA95688","111 SUTTER ST., STE 1975, SAN FRANCISCO, CA  94104",HOLDEN W STEIN (no addr match),individual_agent_offsite,,1.000,,,
CA,Apple Mid Cal Ii Llc,Y,201335410169,Active,Limited Liability Company - Out of State,12/19/2013,DELAWARE,CSC - LAWYERS INCORPORATING SERVICE,False,"6200 OAK TREE BLVD, SUITE 250, INDEPENDENCE, OH 44131","6200 OAK TREE BLVD, SUITE 250, INDEPENDENCE,OH44131",,,service_agent,,1.000,,,
CA,"Quikserve Restaurants, Inc",Y,4324597,Active,Stock Corporation - Out of State - Stock,10/07/2019,MISSOURI,HARSHRAJ GHAI,True,"550 BOGUE ROAD, YUBA CITY, CA 95991","25 E AIRWAY BLVD, LIVERMORE,CA94551","550 BOGUE ROAD, YUBA CITY, CA  95991",HARSHRAJ GHAI,out_of_state_holdco,,1.000,,,
CA,"Hotcakes Saturn Boulevard, Inc.",Y,3790809,Active,Stock Corporation - CA - General,05/26/2015,CALIFORNIA,MICHAEL ALLEN,True,"615 SATURN BLVD, SAN DIEGO, CA 92154","4510 E PACIFIC COAST HWY, STE 290, LONG BEACH,CA90804","4510 E PACIFIC COAST HWY, STE 290, LONG BEACH, CA  90804",MICHAEL ALLEN (no addr match),individual_agent_offsite,,1.000,,,
CA,"Calpac Pizza Ii, Llc",Y,201206010022,Active,Limited Liability Company - Out of State,02/28/2012,DELAWARE,BRIAN THOMPSON,True,"220 PORTER DRIVE STE 100, SAN RAMON, CA 94583","220 PORTER DR STE 100, SAN RAMON,CA94583","220 PORTER DRIVE #100, SAN RAMON, CA  94583",BRIAN THOMPSON,out_of_state_holdco,,1.000,,,
