entity_name,bf_match_count,bf_first_result_name,bf_entity_number,bf_status,bf_entity_type,bf_formation_date,bf_jurisdiction,bf_agent_name,bf_agent_type,bf_agent_is_individual,bf_agent_address,bf_principal_address,bf_mailing_address,bf_statement_due_date,bf_inactive_date,bf_standing_sos,bf_standing_ftb,bf_standing_agent,bf_standing_vcfcf,bf_agent_address_matches_principal,bf_likely_owner_name,bf_operator_pattern,bf_multi_entity_operator,bf_query_used,bf_query_attempts,bf_name_similarity,bf_score,bf_alternates,bf_fetched_at,bf_error
"California Food Management, Llc",1,"CALIFORNIA FOOD MANAGEMENT, LLC (201021810240)",201021810240,Active,Limited Liability Company - CA,08/05/2010,CALIFORNIA,MASOUD MICHAEL AMINPOUR,Individual,True,"6404 WILSHIRE BLVD #999, LOS ANGELES, CA  90048","8306 WILSHIRE BLVD #5002, BEVERLY HILLS, CA 90211","8306 WILSHIRE BLVD #5002, BEVERLY HILLS,CA90211",08/31/2028,,Good,Good,Good,Good,False,MASOUD MICHAEL AMINPOUR (no addr match),individual_agent_offsite,,"California Food Management, Llc",,1.000,,,2026-04-24T11:16:24.208966+00:00,
Rbd California Restaurants Limited,1,RBD CALIFORNIA RESTAURANTS LIMITED (4537797),4537797,Active,Stock Corporation - CA - General,12/18/2019,CALIFORNIA,"GKL CORPORATE/SEARCH, INC.",1505 Corporation,False,,"13191 CROSSROADS PARKWAY NORTH, SUITE 175, CITY OF INDUSTRY, CA 91746","13191 CROSSROADS PARKWAY NORTH, SUITE 175, CITY OF INDUSTRY,CA91746",12/31/2026,,Good,Good,Good,Good,,,service_agent,,Rbd California Restaurants Limited,,1.000,,,2026-04-24T11:16:39.402400+00:00,
"Wingmen V, Llc",1,"WINGMEN V, LLC (201300910189)",201300910189,Active,Limited Liability Company - Out of State,12/03/2012,WASHINGTON,C T CORPORATION SYSTEM,1505 Corporation,False,,"111 WEST 39TH ST, VANCOUVER, WA 98660","111 WEST 39TH ST, VANCOUVER,WA98660",12/31/2026,,Good,Good,Good,Good,,,service_agent,,"Wingmen V, Llc",,1.000,,,2026-04-24T11:16:48.251957+00:00,
"Southern Pacpizza, Llc",2,"SOUTHERN PACPIZZA, LLC (201234110028)",201234110028,,,,,,Individual,True,AGENT RESIGNED OR INVALID,"950 THIRD AVE 24TH FL, NEW YORK, NY 10022","950 THIRD AVE 24TH FL, NEW YORK,NY10022",,09/28/2016,Good,Good,Not Good,Good,False,,unknown,,"Southern Pacpizza, Llc",,1.000,,,2026-04-24T11:31:18.759126+00:00,
Apple Socal Ii Llc,1,APPLE SOCAL II LLC (201426610244),201426610244,Active,Limited Liability Company - Out of State,09/22/2014,DELAWARE,CSC - LAWYERS INCORPORATING SERVICE,1505 Corporation,False,,"225 BUSH STREET STE 1800, SAN FRANCISCO, CA 94104","6200 OAK TREE BLVD STE 250, INDEPENDENCE,OH44131",09/30/2026,,Good,Good,Good,Good,,,service_agent,shared_principal_address:2,Apple Socal Ii Llc,,1.000,,,2026-04-24T11:31:53.992889+00:00,
"Whirld Concepts, Inc.",1,"WHIRLD CONCEPTS, INC. (3579500)",3579500,Active,Stock Corporation - CA - General,06/19/2013,CALIFORNIA,HOLDEN W STEIN,Individual,True,"111 SUTTER ST., STE 1975, SAN FRANCISCO, CA  94104","1671 E MONTE VISTA AVE, STE 201, VACAVILLE, CA 95688","1671 E MONTE VISTA AVE, STE 201, VACAVILLE,CA95688",06/30/2026,,Good,Good,Good,Good,False,HOLDEN W STEIN (no addr match),individual_agent_offsite,,"Whirld Concepts, Inc.",,1.000,,,2026-04-24T11:32:54.842565+00:00,
Apple Mid Cal Ii Llc,2,APPLE MID CAL II LLC (201335410169),201335410169,Active,Limited Liability Company - Out of State,12/19/2013,DELAWARE,CSC - LAWYERS INCORPORATING SERVICE,1505 Corporation,False,,"6200 OAK TREE BLVD, SUITE 250, INDEPENDENCE, OH 44131","6200 OAK TREE BLVD, SUITE 250, INDEPENDENCE,OH44131",12/31/2027,,Good,Good,Good,Good,,,service_agent,,Apple Mid Cal Ii Llc,,1.000,,,2026-04-24T11:33:03.151565+00:00,
"Quikserve Restaurants, Inc",1,"QUIKSERVE RESTAURANTS, INC (4324597)",4324597,Active,Stock Corporation - Out of State - Stock,10/07/2019,MISSOURI,HARSHRAJ GHAI,Individual,True,"550 BOGUE ROAD, YUBA CITY, CA  95991","550 BOGUE ROAD, YUBA CITY, CA 95991","25 E AIRWAY BLVD, LIVERMORE,CA94551",10/31/2026,,Good,Good,Good,Good,True,HARSHRAJ GHAI,out_of_state_holdco,,"Quikserve Restaurants, Inc",,1.000,,,2026-04-24T11:33:14.824679+00:00,
"Hotcakes Saturn Boulevard, Inc.",1,"HOTCAKES SATURN BOULEVARD, INC. (3790809)",3790809,Active,Stock Corporation - CA - General,05/26/2015,CALIFORNIA,MICHAEL ALLEN,Individual,True,"4510 E PACIFIC COAST HWY, STE 290, LONG BEACH, CA  90804","615 SATURN BLVD, SAN DIEGO, CA 92154","4510 E PACIFIC COAST HWY, STE 290, LONG BEACH,CA90804",05/31/2027,,Good,Good,Good,Good,False,MICHAEL ALLEN (no addr match),individual_agent_offsite,,"Hotcakes Saturn Boulevard, Inc.",,1.000,,,2026-04-24T11:33:48.646451+00:00,
"Calpac Pizza Ii, Llc",1,"CALPAC PIZZA II, LLC (201206010022)",201206010022,Active,Limited Liability Company - Out of State,02/28/2012,DELAWARE,BRIAN THOMPSON,Individual,True,"220 PORTER DRIVE #100, SAN RAMON, CA  94583","220 PORTER DRIVE STE 100, SAN RAMON, CA 94583","220 PORTER DR STE 100, SAN RAMON,CA94583",02/28/2028,,Good,Good,Good,Good,True,BRIAN THOMPSON,out_of_state_holdco,,"Calpac Pizza Ii, Llc",,1.000,,,2026-04-24T11:36:29.519301+00:00,
