entity_name,name_variants,total_units,brands_operated,brand_count,is_multi_brand,primary_state,all_states,state_count,restaurant_phone,sample_address,apollo_company,apollo_email,apollo_linkedin,apollo_title
"Gmrg Acq 1, Llc",,112,Pizza Hut,1,No,CO,CO | KS | MO | NE | OK | TX | UT | WY,8,719/589-3693,814 Main St,,,,
"Mt Food Group, Llc",,57,Burger King,1,No,CO,CO | UT | WY,3,(303) 422-6316,12580 West 64th Ave,,,,
"Gh Food Group Colorado, Llc","Gh Food Group 2, Llc / Gh Food Group Colorado, Llc / Gh Food Group Tx, Llc / Gh Food Group, Llc",49,Jimmy John's,1,No,CO,AZ | CO | OK | TX,4,928-774-6200,1020 S Milton Rd,,,,
Hut Rocky Mountain Llc,,41,Pizza Hut,1,No,CO,CO,1,303/424-0710,8990 Ralston Rd,,,,
Donahue/Oceguera,Donahue / Donahue/Oceguera,32,Burger King,1,No,CO,CO,1,(303) 427-8985,5255 West 80th Ave,,,,
"Williams, Craig K.",,25,Domino's,1,No,CO,CO | MO,2,(719) 434-9996,"9673 Prominent Point, Suite 100",,,,
Premium Loaves Colorado Llc,,24,Jimmy John's,1,No,CO,CO,1,303-940-5729,12650 W 64th Ave,,,,
Apple Colorado Llc,,23,Applebee's,1,No,CO,CO | WY,2,(970) 249-1214,1501 Oxbow Drive,,,,
"Burgess, Timothy Kent",,23,Domino's,1,No,CO,CO | UT,2,(719) 574-0950,6870 Galley Rd.,,,,
Joseph Johnson,,23,McDonald's,1,No,CO,CO | NE,2,303-364-5212,11025 E COLFAX AVE,,,,
"Rea, Michael S.",,17,Domino's,1,No,CO,CO,1,(303) 781-6647,3920 S. Broadway,,,,
"Feavel, Jay B.",,16,Domino's,1,No,CO,CO | WY,2,(970) 353-6500,3521 W. 10th St.,,,,
Kathleen M Linneman,,15,McDonald's,1,No,CO,CO,1,303-364-0706,3151 N AIRPORT BLVD,,,,
Juan Samour,,15,McDonald's,1,No,CO,CO,1,303-343-6169,14251 E COLFAX AVE,,,,
Todd R Luther,,15,McDonald's,1,No,CO,CO | NE | SD | WY,4,970-221-4578,1273 GRAND MARKET AVE,,,,
"Haydon, James B.",,14,Domino's,1,No,CO,CO,1,(303) 278-7241,"2600 East Street, Ste. D",,,,
James Joseph Boselli,,14,McDonald's,1,No,CO,CO,1,303-423-9161,9825 W 58TH AVE,,,,
Lauren M Addy,,14,McDonald's,1,No,CO,CO,1,303-289-3207,10400 BELLE CREEK BLVD,,,,
Paul Nelson,,12,McDonald's,1,No,CO,CO,1,970-949-6177,171 YODER AVE (WM #1199),,,,
"Delgrosso, Brian",,11,Domino's,1,No,CO,CO | NE,2,(970) 522-3030,701 W. Main Street,,,,
Jason Thompson,,10,McDonald's,1,No,CO,CO,1,719-538-0075,2705 JANITELL RD,,,,
"Prellwitz, Philip",,9,Domino's,1,No,CO,CO,1,(970) 669-8512,1535 W. Eisenhower Blvd.,,,,
Whirl Colorado Llc,,9,Jamba,1,No,COLORADO,COLORADO,1,303.284.4852,14151 E. Cedar Ave.,,,,
"Mp & Jp Holdings, Llc (Jeffrey Parker)","Jeffrey Parker / Mp & Jp Holdings, Llc (Jeffrey Parker)",8,Five Guys,1,No,CO,CO,1,719-264-6400,"34 E. Allen St., Ste. 100",,,,
Parker 1833 Llc,,8,IHOP,1,No,CO,CO,1,(719) 264-0469,8065 N Academy Blvd,,,,
"Alarado Enterprises, Llc",,8,Jimmy John's,1,No,CO,CO | NE,2,303-447-3332,3310 Arapahoe Ave,,,,
Jason Lessnau,,7,McDonald's,1,No,CO,CO,1,303-671-2578,12900 E MISSISSIPPI AVE,,,,
Sarah K Hill,,7,McDonald's,1,No,CO,CO,1,303-466-9764,595 HWY 287,,,,
Michael S Sandoval,,7,McDonald's,1,No,CO,CO,1,303-288-9418,6050 PARKWAY DRIVE,,,,
Kevin T Napier,,7,McDonald's,1,No,CO,CO,1,719-391-1315,105 PLAZA,,,,
"Irmg Burger Restaurants, Inc.",,6,Burger King,1,No,CO,CO | FL | IL | NC | TN | TX,6,(303) 590-1405,14500 W. Colfax Ave.,,,,
Kasch Partnership Llc,,6,Jimmy John's,1,No,CO,CO,1,720-354-4444,1240 E 1st Ave,,,,
Co Ops 3 Llc,Co Ops 3 Llc / Co Ops Llc,6,Jimmy John's,1,No,CO,CO,1,719-591-7827,4290 N Academy Blvd,,,,
Sean P Connelly,,6,McDonald's,1,No,CO,CO,1,303-420-3034,8001 WADSWORTH BLVD,,,,
Dio Mercantile Co,,5,Dairy Queen,1,No,CO,CO,1,7195458220,1001 Lake Ave,,,,
Bfcco Inc.,,5,Jimmy John's,1,No,CO,CO,1,303-699-2500,4261 S Buckley Rd,,,,
Purvi Naik,,5,McDonald's,1,No,CO,CO,1,719-634-7589,207 N WAHSATCH,,,,
Lauren A Holmberg,,5,McDonald's,1,No,CO,CO,1,303-776-8087,5950 FIRESTONE BLVD,,,,
Robert G Luther,,5,McDonald's,1,No,CO,CO,1,970-482-1612,2401 S COLLEGE AVE,,,,
Bell Brand Ranches Inc,,4,Dairy Queen,1,No,CO,CO | FL,2,7195969080,5440 Tutt Blvd,,,,
Lix Brighton Inc,Lix Brighton Inc / Lix Glenwood Inc / Lix Inc / Lix Sterling Inc,4,Dairy Queen,1,No,CO,CO,1,3036592282,2564 E Bridge St,,,,
"Osita, Richard Kenechukwu",,4,Domino's,1,No,CO,CO,1,(970) 363-6001,78415 US 40,,,,
"Hynds Bros., Inc.",,4,Jimmy John's,1,No,CO,CO,1,970-282-1600,4515 John F. Kennedy Pkwy,,,,
Scott G Angelos,,4,McDonald's,1,No,CO,CO | KS,2,719-346-5190,440 LINCOLN AVENUE SOUTH,,,,
David M Napier,,4,McDonald's,1,No,CO,CO,1,719-275-9257,2305 FREMONT DR,,,,
Douglas R King,,4,McDonald's,1,No,CO,CO | UT,2,970-434-9190,3219 I 70 BUSINESS LOOP,,,,
Maria M Reinerth,,4,McDonald's,1,No,CO,CO,1,719-574-3477,535 AIRPORT CREEK POINT,,,,
Serena Rodgers,,4,McDonald's,1,No,CO,CO,1,303-227-9939,15251 E 104TH AVE,,,,
"Aesir Group International, Inc.",,3,Buffalo Wild Wings,1,No,CO,CO | KS,2,719-465-0106,373 E FILLMORE ST,,,,
"Jardel Enterprises, Inc.",,3,Burger King,1,No,CO,CO,1,(303) 340-8621,625 North Peoria St,,,,
Gwc Enterprises Llc,,3,Dairy Queen,1,No,CO,CO,1,3035930396,780 S Colorado Blvd - Bldg A,,,,
Zieglin Inc,,3,Dairy Queen,1,No,CO,CO,1,3036519733,2201 Ken Pratt Blvd Ste D,,,,
"Altura Enterprises, Llc",,3,IHOP,1,No,CO,CO,1,(303) 399-4646,3730 Quebec St,,,,
"Three Tom Brands, Llc",,3,Jamba,1,No,COLORADO,COLORADO,1,303.955.4874,10650 E Garden Drive Suite 101,,,,
"Kb Enterprises, Llc",,3,KFC,1,No,CO,CO | NM | TX,3,918/970-4296,212 Nevada Avenue,,,,
Gisela T Phelan,,3,McDonald's,1,No,CO,CO | NM,2,719-589-2228,100 CRAFT DR,,,,
Elias Asfaw,,3,McDonald's,1,No,CO,CO,1,720-459-8650,21659 E QUINCY AVE,,,,
Brian Boselli,,3,McDonald's,1,No,CO,CO,1,303-659-6602,895 KUNER RD,,,,
Chad Furler,,3,McDonald's,1,No,CO,CO,1,719-633-1171,1824 S NEVADA,,,,
S Todd Mcmillan,,3,McDonald's,1,No,CO,CO,1,719-593-0511,8120 VOYAGER PARKWAY,,,,
Geta Asfaw,,3,McDonald's,1,No,CO,CO,1,303-394-1541,3350 COLORADO BLVD,,,,
Jessica M Bucar-Standridge,,3,McDonald's,1,No,CO,CO,1,303-458-0127,3320 W 38TH AVE,,,,
"Bilikin, Inc.",,2,Burger King,1,No,CO,CO,1,(303) 750-0221,16850 E Iliff Ave,,,,
"Irmg Burger Of Aurora , Inc","Irmg Burger Of Aurora , Inc / Pop Of Aurora, Inc.",2,Burger King | Popeyes,2,Yes,CO,CO,1,(308) 272-1416,14200 E Alameda Ave #2072,,,,
"Crc Pretzels, Llc",,2,Cinnabon,1,No,COLORADO,COLORADO,1,(816) 262-3875,6700 North Gaylord Rockies Blvd.,,,,
Reynolds Restaurant Group Llc,,2,Cinnabon,1,No,COLORADO,COLORADO,1,(720) 465-9735,14200 E Almeda Ave.,,,,
"B&R Breakaway Investments ""Llc"" Of Colorado",,2,Cinnabon,1,No,COLORADO,COLORADO,1,(719) 536-0001,8310 Razorback Road,,,,
