entity_type,entity_name,name_variants,primary_state,all_states,brands_operated,total_units
company,Hut Florida Llc,,FL,FL,Pizza Hut,151
company,"Sunshine Restaurant Merger Sub, Llc",,FL,FL | GA,IHOP,147
company,"Sailormen, Inc.",,FL,FL | GA,Popeyes,137
company,"Cfl Pizza, Llc",,FL,FL,Pizza Hut,88
company,Adiser Orlando Llc,,FL,FL,Burger King,77
company,"Bravotampa, Llc",,FL,FL,Burger King,74
company,"Tasty Chick'N Southeast, Llc",,FL,AL | AR | FL | MS | VA,KFC,71
company,"Neighborhood Restaurant Partners Florida Two, Llc","Neighborhood Restaurant Partners Florida Two, Llc / Neighborhood Restaurant Partners Florida, Llc",FL,AL | FL | GA,Applebee's,67
company,"Em Squared Miami, Llc","Em Squared Miami, Llc / Em Squared, Llc",FL,FL | NC | TN | WV,KFC,63
company,"Rrg Of Jacksonville, Llc",,FL,FL | GA | SC,Burger King,61
company,"Koning Restaurants International, L.C.",,FL,FL,Pizza Hut,52
company,"Tice Chicken Fl, Llc",,FL,FL,Popeyes,46
person,"Longen, Jerry A.",,FL,AL | FL | GA,Domino's,45
company,"Phoenix Of West Palm Beach, Llc","Phoenix Of 152Nd St, Llc / Phoenix Of 45Th St Llc / Phoenix Of 8Th St, Llc / Phoenix Of Belvedere Llc / Phoenix Of Boynton Beach Llc / Phoenix Of Coconut Creek, Llc / Phoenix Of Collier Llc / Phoenix Of Congress Ave Llc / Phoenix Of Cutler Bay Llc / Phoenix Of Delray, Llc / Phoenix Of Doral Llc / Phoenix Of Flagler, Llc / Phoenix Of Forest Hill Llc / Phoenix Of Glades Rd. Llc / Phoenix Of Greenacres Llc / Phoenix Of Homestead, Llc / Phoenix Of Jog Rd Llc / Phoenix Of Lake Worth Llc / Phoenix Of Lantana, Llc / Phoenix Of Margate, Llc / Phoenix Of Miami Lakes, Llc / Phoenix Of Mizner Park Llc / Phoenix Of N Dixie Hwy Llc / Phoenix Of N. Lauderdale, Llc / Phoenix Of Naples Llc / Phoenix Of Naranja Llc / Phoenix Of Oakland Park, Llc / Phoenix Of Okeechobee Llc / Phoenix Of Pembroke Pines, Llc / Phoenix Of Port St Lucie Llc / Phoenix Of Quail Roost Llc / Phoenix Of Riviera Beach, Llc / Phoenix Of South Congress Llc / Phoenix Of State Rd 7 Llc / Phoenix Of West Okeechobee Llc / Phoenix Of West Palm Beach, Llc / Phoenix Of Woolbright Llc",FL,FL,Burger King,37
company,"Bravoflorida,Llc",,FL,FL,Burger King,35
company,Nova Shores Restaurants Llc,,FL,FL,Burger King,33
person,Juan C Prado,,FL,FL,McDonald's,33
person,Angel Veliz,,FL,FL,McDonald's,29
person,Carlton R Wade,,FL,FL,McDonald's,28
company,"Jan King, Inc.",,FL,FL,Burger King,26
person,Brent Upchurch,,FL,FL,McDonald's,26
company,Apple Florida Llc,,FL,FL | GA,Applebee's,25
person,"Welker, William L.",,FL,FL,Domino's,24
person,Michele K Heisner,,FL,FL,McDonald's,22
company,"Host International, Inc.","Host Int'L, Inc / Host International Inc. / Host International, Inc.",FL,AL | AR | FL | GA | HI | ME | NC | NJ | NV | NY | OH | UT | VA,Burger King | Jimmy John's | Pizza Hut,21
person,Raphael A Vazquez,,FL,FL | GA,McDonald's,21
company,"Ckj Burger, Llc",,FL,FL,Burger King,20
company_with_owner,Sarasota Seven Burgers Llc (George Estep And Scott Strahm),Gator Subs Vision Llc (George Estep And Scott Strahm) / Sarasota Seven Burgers Llc (George Estep And Scott Strahm),FL,FL,Five Guys,20
company,"Tossitup 2422, Inc.","Tossitup 1149, Inc. / Tossitup 1454, Inc. / Tossitup 1774, Inc / Tossitup 1817, Inc. / Tossitup 2298 Inc. / Tossitup 2322, Inc / Tossitup 2422, Inc. / Tossitup 2543, Inc, / Tossitup 260, Inc. / Tossitup 2608, Inc / Tossitup 261, Inc. / Tossitup 262, Inc. / Tossitup 2661, Inc / Tossitup 3053, Inc. / Tossitup 3229, Inc. / Tossitup 576, Inc. / Tossitup 710, Inc. / Tossitup 719, Inc. / Tossitup 971, Inc. / Tossitup, Inc.",FL,FL,Jimmy John's,20
person,Javier Illas,,FL,FL,McDonald's,19
company,Adt Florida Llc,,FL,FL,Pizza Hut,19
company,"Jsix Subs, Inc.",,FL,FL,Jimmy John's,18
person,David Michael Costa,David M Costa / David Michael Costa,FL,FL,McDonald's,18
company,"Furman/Furman'S, Inc.","Furman / Furman'S, Inc. / Furman/Furman'S, Inc.",FL,FL,Burger King,17
person,"Sheikh, Ahsan M.",,FL,FL,Domino's,17
company_with_owner,"Bengel'S Burgers, Llc (Charles Bengel)",,FL,FL,Five Guys,17
person,"Babich, Scott Joseph",,FL,FL,Domino's,16
person,Anthony Lopez,,FL,FL,McDonald's,16
person,Rene D Veliz,,FL,FL,McDonald's,16
company,Yogiraj Eight Llc,Yogiraj 12 Llc / Yogiraj 14 Llc / Yogiraj 17 Llc / Yogiraj 18 Llc / Yogiraj 19 Llc / Yogiraj Eight Llc / Yogiraj Five Llc / Yogiraj Four Llc / Yogiraj Nine Llc / Yogiraj One Llc / Yogiraj Seven Llc / Yogiraj Six Llc / Yogiraj Ten Llc / Yogiraj Three Llc / Yogiraj Two Llc,FL,FL,Dairy Queen,15
person,Joseph L Cox,,FL,FL,McDonald's,15
person,"Farace, Alvaro C.","Farace, Alvaro / Farace, Alvaro C.",FL,FL,Domino's,14
person,Bradley D Ashlin,,FL,FL,McDonald's,14
