entity_name,name_variants,total_units,brands_operated,brand_count,is_multi_brand,primary_state,all_states,state_count,restaurant_phone,sample_address,apollo_company,apollo_email,apollo_linkedin,apollo_title
"Four Cousins Burgers And Fries Of Li, Llc (Bill Gellert)","Four Cousins Burgers & Fries Of Li, Llc (Bill Gellert) / Four Cousins Burgers & Fries Of Nh, Llc (Bill Gellert) / Four Cousins Burgers & Fries Of Nj, Llc (Bill Gellert) / Four Cousins Burgers & Fries Of Ny, Llc (Bill Gellert) / Four Cousins Burgers And Fries Of Li, Llc (Bill Gellert) / Four Cousins Burgers And Fries Of Ny, Llc (Bill Gellert) / Ghg Ar, Llc (Bill Gellert) / Ghg Gulf Coast, Llc (Bill Gellert) / Ghg Indiana, Llc (Bill Gellert) / Ghg Southwest, Llc (Bill Gellert) / Ghg Tennga, Llc (Bill Gellert)",79,Five Guys,1,No,NY,AL | AR | FL | GA | IN | LA | MS | NH | NJ | NY | TN,11,(914) 643-2180,6860 Highway 90 (out parcel),,,,
"Fgny Holding, Llc (Andrew Stern And John Rigos)","Fgny Holding, Llc (Andrew Stern And John Rigos) / Fgnyc, Llc (Andrew Stern And John Rigos) / Fgnyw, Llc (Andrew Stern And John Rigos)",53,Five Guys,1,No,NY,MA | NY,2,518-452-6066,660 Merrill Rd.,,,,
Opportunity Pancakes 4 Llc,Opportunity Pancakes 2 Llc / Opportunity Pancakes 3 Llc / Opportunity Pancakes 4 Llc / Opportunity Pancakes 5 Llc / Opportunity Pancakes Llc,45,IHOP,1,No,NY,DE | NJ | NY | PA,4,(302) 427-3860,"2001 Concord Pike, Suite 102",,,,
George R Michell,,37,McDonald's,1,No,NY,CT | MA | NJ | NY,4,860-256-4091,273 COTTAGE GROVE RD,,,,
Tasty Hut Northeast Llc,,37,Pizza Hut,1,No,NY,MA | NH | NY | RI,4,508/567-5673,155 Hope Street,,,,
Singh,,35,Burger King,1,No,NY,NJ | NY,2,(908) 282-0222,828 Us-1,,,,
Rockaway Beach Chicken Corp.,"116 Chicken Corp. / 138 Chicken Corp / 155 Chicken Corp. / 161 Chicken Corp / 170 Chicken Corp. / 1770 Chicken Corp. / 1994 Chicken Corp. / 2090 Chicken Corp / 213 Burger Corp / 213 Chicken Corp. / 2158 Nostrand Chicken Corp. / 23 Chicken Corp / 25 Flatbush Chicken Corp / 2809 Chicken Corp / 290 Utica Chicken Corp. / 309 Chicken Corp. / 3318 Chicken Corp. / 3670 Chicken Corp. / 40 Empire Chicken Corp / 400 East Chicken Corp. / 53 Chicken Corp / 557 Chicken Corp. / 5740 Chicken, Corp / 679 Rockaway Chicken Corp. / 722 Chicken Corp. / 80 Chicken Corp. / 845 Chicken Corp. / 87 Chicken, Corp. / 8808 Chicken Corp / 970 Chicken Corp. / 982 Chicken Corp / Ga Chicken Corp. / Rockaway Beach Chicken Corp. / Shirley Chicken Corp / Steinway Chicken Corp",35,Burger King | Popeyes,2,Yes,NY,NY,1,(347) 344-6815,213-215 East Fordham Rd,,,,
Peter J Fonseca,,34,McDonald's,1,No,NY,NJ | NY,2,732-613-8088,730 ROUTE 18 NORTH,,,,
"Oceanside Restaurant Associates, L.P.","Hutch Restaurant Associates, L.P. / Jericho Restaurant Associates, L.P. / L. I. Restaurant Associates, L.P. / Oceanside Restaurant Associates, L.P.",27,Burger King,1,No,NY,NY,1,(631) 842-6122,1104 Sunrise Hwy,,,,
David B Singelyn,,27,McDonald's,1,No,NY,NY | PA,2,716-542-6200,12976 MAIN ST,,,,
