entity_name,name_variants,total_units,brands_operated,brand_count,is_multi_brand,primary_state,all_states,state_count,restaurant_phone,sample_address,apollo_company,apollo_email,apollo_linkedin,apollo_title,ny_match_count,ny_first_result_name,ny_entity_number,ny_status,ny_entity_type,ny_formation_date,ny_jurisdiction,ny_agent_name,ny_agent_type,ny_agent_is_individual,ny_agent_address,ny_principal_address,ny_mailing_address,ny_statement_due_date,ny_inactive_date,ny_agent_address_matches_principal,ny_likely_owner_name,ny_operator_pattern,ny_multi_entity_operator,ny_query_used,ny_query_attempts,ny_name_similarity,ny_score,ny_alternates,ny_fetched_at,ny_error,ny_county,ny_ceo_name,ny_ceo_address,ny_dos_process_name,ny_location_address
"Four Cousins Burgers And Fries Of Li, Llc (Bill Gellert)","Four Cousins Burgers & Fries Of Li, Llc (Bill Gellert) / Four Cousins Burgers & Fries Of Nh, Llc (Bill Gellert) / Four Cousins Burgers & Fries Of Nj, Llc (Bill Gellert) / Four Cousins Burgers & Fries Of Ny, Llc (Bill Gellert) / Four Cousins Burgers And Fries Of Li, Llc (Bill Gellert) / Four Cousins Burgers And Fries Of Ny, Llc (Bill Gellert) / Ghg Ar, Llc (Bill Gellert) / Ghg Gulf Coast, Llc (Bill Gellert) / Ghg Indiana, Llc (Bill Gellert) / Ghg Southwest, Llc (Bill Gellert) / Ghg Tennga, Llc (Bill Gellert)",79,Five Guys,1,No,NY,AL | AR | FL | GA | IN | LA | MS | NH | NJ | NY | TN,11,(914) 643-2180,6860 Highway 90 (out parcel),,,,,1,"FOUR COUSINS BURGERS & FRIES OF LI, LLC",3511369,Active,DOMESTIC LIMITED LIABILITY COMPANY,05/02/2007,New York,BILL GELLERT,Individual,True,"173 WHIPPOORWILL ROAD, HILLSDALE, NY, 12529","173 WHIPPOORWILL ROAD, HILLSDALE, NY, 12529",,,,True,BILL GELLERT,owner_operator,False,"Four Cousins Burgers And Fries Of Li, Llc (Bill Gellert)","Four Cousins Burgers And Fries Of Li, Llc (Bill Gellert) | four cousins",1.000,200.00,"[{""name"": ""FOUR COUSINS, LLC"", ""num"": ""3237124"", ""score"": 128.57}]",2026-05-06T18:37:24.345845+00:00,,Columbia,,,BILL GELLERT,
"Fgny Holding, Llc (Andrew Stern And John Rigos)","Fgny Holding, Llc (Andrew Stern And John Rigos) / Fgnyc, Llc (Andrew Stern And John Rigos) / Fgnyw, Llc (Andrew Stern And John Rigos)",53,Five Guys,1,No,NY,MA | NY,2,518-452-6066,660 Merrill Rd.,,,,,1,"FGNY HOLDING, LLC",4371290,Active,DOMESTIC LIMITED LIABILITY COMPANY,03/08/2013,New York,UNITED AGENT GROUP INC.,,False,"600 MAMARONECK AVENUE, #400, HARRISON, NEW YORK, 10528","600 MAMARONECK AVENUE #400, HARRISON, NY, 10528",,,,True,,service_agent,False,"Fgny Holding, Llc (Andrew Stern And John Rigos)","Fgny Holding, Llc (Andrew Stern And John Rigos)",1.000,200.00,,2026-05-06T18:37:24.345845+00:00,,New York,,,UNITED AGENT GROUP INC.,
Opportunity Pancakes 4 Llc,Opportunity Pancakes 2 Llc / Opportunity Pancakes 3 Llc / Opportunity Pancakes 4 Llc / Opportunity Pancakes 5 Llc / Opportunity Pancakes Llc,45,IHOP,1,No,NY,DE | NJ | NY | PA,4,(302) 427-3860,"2001 Concord Pike, Suite 102",,,,,1,OPPORTUNITY PANCAKES 4 LLC,7588760,Active,FOREIGN LIMITED LIABILITY COMPANY,04/17/2025,Delaware,REGISTERED AGENTS INC.,,False,"418 BROADWAY STE R, ALBANY, NEW YORK, 12207","418 BROADWAY STE R, ALBANY, NY, 12207",,,,True,,out_of_state_holdco,True,Opportunity Pancakes 4 Llc,Opportunity Pancakes 4 Llc | opportunity pancakes,1.000,170.00,"[{""name"": ""OPPORTUNITY PANCAKES LLC"", ""num"": ""7080079"", ""score"": 136.67}]",2026-05-06T18:37:24.345845+00:00,,Albany,,,REGISTERED AGENTS INC.,
George R Michell,,37,McDonald's,1,No,NY,CT | MA | NJ | NY,4,860-256-4091,273 COTTAGE GROVE RD,,,,,0,,,,,,,,,,,,,,,,,,,George R Michell,George R Michell,,,,2026-05-06T18:37:24.345845+00:00,,,,,,
Tasty Hut Northeast Llc,,37,Pizza Hut,1,No,NY,MA | NH | NY | RI,4,508/567-5673,155 Hope Street,,,,,1,"TASTY HUT NORTHEAST, LLC",6288593,Active,FOREIGN LIMITED LIABILITY COMPANY,09/24/2021,Delaware,REGISTERED AGENTS INC.,,False,"418 BROADWAY, STE R, ALBANY, NY, 12207","418 BROADWAY, STE R, ALBANY, NY, 12207",,,,True,,out_of_state_holdco,True,Tasty Hut Northeast Llc,Tasty Hut Northeast Llc | tasty hut,1.000,200.00,"[{""name"": ""TASTY HUT, INC."", ""num"": ""3161722"", ""score"": 166.67}]",2026-05-06T18:37:24.345845+00:00,,Monroe,,,REGISTERED AGENTS INC.,
Singh,,35,Burger King,1,No,NY,NJ | NY,2,(908) 282-0222,828 Us-1,,,,,0,,,,,,,,,,,,,,,,,,,Singh,Singh,,,,2026-05-06T18:37:24.345845+00:00,,,,,,
Rockaway Beach Chicken Corp.,"116 Chicken Corp. / 138 Chicken Corp / 155 Chicken Corp. / 161 Chicken Corp / 170 Chicken Corp. / 1770 Chicken Corp. / 1994 Chicken Corp. / 2090 Chicken Corp / 213 Burger Corp / 213 Chicken Corp. / 2158 Nostrand Chicken Corp. / 23 Chicken Corp / 25 Flatbush Chicken Corp / 2809 Chicken Corp / 290 Utica Chicken Corp. / 309 Chicken Corp. / 3318 Chicken Corp. / 3670 Chicken Corp. / 40 Empire Chicken Corp / 400 East Chicken Corp. / 53 Chicken Corp / 557 Chicken Corp. / 5740 Chicken, Corp / 679 Rockaway Chicken Corp. / 722 Chicken Corp. / 80 Chicken Corp. / 845 Chicken Corp. / 87 Chicken, Corp. / 8808 Chicken Corp / 970 Chicken Corp. / 982 Chicken Corp / Ga Chicken Corp. / Rockaway Beach Chicken Corp. / Shirley Chicken Corp / Steinway Chicken Corp",35,Burger King | Popeyes,2,Yes,NY,NY,1,(347) 344-6815,213-215 East Fordham Rd,,,,,1,ROCKAWAY BEACH CHICKEN CORP.,4283978,Active,DOMESTIC BUSINESS CORPORATION,08/15/2012,New York,ROCKAWAY BEACH CHICKEN CORP.,,False,"85-15 ROCKAWAY BEACH BLVD, ROCKAWAY BEACH, NY, 11693","85-15 ROCKAWAY BEACH BLVD, ROCKAWAY BEACH, NY, 11693",,,,True,,service_agent,False,Rockaway Beach Chicken Corp.,Rockaway Beach Chicken Corp. | rockaway beach,1.000,200.00,"[{""name"": ""ROCKAWAY BEACH LLC"", ""num"": ""3537643"", ""score"": 166.67}]",2026-05-06T18:37:24.443897+00:00,,Queens,,,ROCKAWAY BEACH CHICKEN CORP.,
Peter J Fonseca,,34,McDonald's,1,No,NY,NJ | NY,2,732-613-8088,730 ROUTE 18 NORTH,,,,,0,,,,,,,,,,,,,,,,,,,Peter J Fonseca,Peter J Fonseca,,,,2026-05-06T18:37:24.445002+00:00,,,,,,
"Oceanside Restaurant Associates, L.P.","Hutch Restaurant Associates, L.P. / Jericho Restaurant Associates, L.P. / L. I. Restaurant Associates, L.P. / Oceanside Restaurant Associates, L.P.",27,Burger King,1,No,NY,NY,1,(631) 842-6122,1104 Sunrise Hwy,,,,,1,"OCEANSIDE RESTAURANT ASSOCIATES, L.P.",1982252,Active,DOMESTIC LIMITED PARTNERSHIP,12/15/1995,New York,"HARRY P BRAUNSTEIN, ESQ C/O HERZFELD & RUBIN, PC",Individual,True,"40 WALL STREET, NEW YROK, NEW YORK, 10005","40 WALL STREET, NEW YORK, NY, 10005",,,,True,"HARRY P BRAUNSTEIN, ESQ C/O HERZFELD & RUBIN, PC",attorney_agent,False,"Oceanside Restaurant Associates, L.P.","Oceanside Restaurant Associates, L.P.",1.000,200.00,,2026-05-06T18:37:24.445002+00:00,,Nassau,,,"C/O HERZFELD & RUBIN, PC",
David B Singelyn,,27,McDonald's,1,No,NY,NY | PA,2,716-542-6200,12976 MAIN ST,,,,,1,DAVID B. CORPORATION,2671623,Active,DOMESTIC BUSINESS CORPORATION,08/16/2001,New York,DAVID B. CORPORATION,,False,"1010 NORTHERN BLVD, GREAT NECK, NY, 110215306","1010 NORTHERN BLVD, 340, GREAT NECK, NY, 110215306","1010 NORTHERN BLVD, GREAT NECK, NY, 110215306",,,True,DAVID BERNSTEIN,owner_operator,False,david b,david b,0.667,166.67,,2026-05-06T18:37:24.445397+00:00,,Nassau,DAVID BERNSTEIN,"DAVID BERNSTEIN, GREAT NECK, NY, 110215306",DAVID B. CORPORATION,"1010 NORTHERN BLVD, 340, GREAT NECK, NY, 110215306"
