entity_type,entity_name,name_variants,primary_state,all_states,brands_operated,total_units
person,"Bailey, Brian K.",,TX,CO | NM | OK | TX,Domino's,157
company,"Fritz Management, Llc",,TX,TX,Burger King,137
company,"Houston Foods, Inc.",,TX,TX,Burger King,132
company,"Cinemark Usa, Inc.",,TX,AL | AR | AZ | CA | CO | CT | DE | FL | ID | IL | IN | KY | LA | MA | MD | MI | MS | NH | NJ | NM | NV | NY | OH | OK | PA | TX | UT | WA,Pizza Hut,131
person,"Murph, Alan D.",,TX,KY | TN | TX,Domino's,114
person,"Cunningham, Alan",,TX,TX,Domino's,102
person,"Hamill, R. Brent","Hamill, Brent / Hamill, R. Brent",TX,CA | CO | TX,Domino's,90
company,"Ampex Brands Ph Of Dallas, Inc.","Ampex Brands Of Cleburne, Inc. / Ampex Brands Ph Of Dallas, Inc. / Ampex Brands, Llc",TX,TX,KFC | Pizza Hut,85
company,Army & Air Force Exchange Services,Army & Air Force Exchange Services / Army Air Force Exchange Services,TX,AK | AL | AR | AZ | CA | CO | DC | DE | FL | GA | HI | IL | KS | KY | LA | MD | MO | NC | ND | NE | NJ | NV | NY | OH | OK | SC | TX | UT | VA | WA,Burger King | Pizza Hut,76
company,"American Pizza Partners, L.P.",,TX,CO | LA | OK | TX | WY,Pizza Hut,74
person,"Mayhall, Dennis L.",,TX,IN | TX,Domino's,73
company,"Z & H Foods, Inc.",,TX,TX,Popeyes,71
company,"Continental Superior Management Groups, L.P.",,TX,KS | TX,Popeyes,69
company,"Acg 3413, L.P.","Acg 1333, L.P. / Acg 1359, L.P. / Acg 1404, L.P. / Acg 1413, L.P. / Acg 1421, L.P. / Acg 1437, L.P. / Acg 1438, L.P. / Acg 1439, L.P. / Acg 1450, L.P. / Acg 1454, L.P. / Acg 1467, L.P. / Acg 1468, L.P. / Acg 1477, L.P. / Acg 1934, L.P. / Acg 1942, L.P. / Acg 1948, L.P. / Acg 1954, L.P. / Acg 3000, L.P. / Acg 3001, L.P. / Acg 3003, L.P. / Acg 3006, L.P. / Acg 3009, L.P. / Acg 3010, L.P. / Acg 3011, L.P. / Acg 3012, L.P. / Acg 3013, L.P. / Acg 3014, L.P. / Acg 3015, L.P. / Acg 3017, L.P. / Acg 3018, L.P. / Acg 3020, L.P. / Acg 3021, L.P. / Acg 3023, L.P. / Acg 3024, L.P. / Acg 3025, L.P. / Acg 3026, L.P. / Acg 3027, L.P. / Acg 3028, L.P. / Acg 3030, L.P. / Acg 3410, L.P. / Acg 3411, L.P. / Acg 3412, L.P. / Acg 3413, L.P. / Acg 3414, L.P. / Acg 3415, L.P. / Acg 3416, Lp / Acg 3418, Lp / Acg 3419, Lp / Acg 3508, L.P. / Acg 3509, L.P. / Acg 3511, L.P. / Acg 3586, L.P. / Acg 3598, L.P. / Acg 3599, L.P. / Acg 3602, L.P. / Acg 3618, L.P. / Acg 3648, L.P. / Acg 3649, L.P. / Acg 3650, L.P. / Acg 3651, L.P. / Acg 3676, L.P. / Acg 3681, L.P. / Acg 3702, Lp / Acg 3734, Lp / Acg 3842, L.P.",TX,TX,IHOP,65
company,"Pop Investments, Llc.",,TX,TX,Popeyes,63
company,"Shonaz Foods, Inc.",,TX,TX,Burger King,60
company,"Ampler Burgers, Llc*","Ampler Burgers, Llc / Ampler Burgers, Llc*",TX,TX,Burger King,57
person,"Salido, Fernando",,TX,TX,Domino's,52
company,Adt Texas Llc,,TX,TX,Pizza Hut,43
company,"Tall Timbers Pizza Hut, Inc.",,TX,TX,Pizza Hut,42
person,"Gerety, Cassie",,TX,TX,Domino's,41
company,Smith Dairy Queens Ltd,,TX,TX,Dairy Queen,39
company,"Apple Texas Restaurants, Inc",,TX,TX,Applebee's,35
company,Heart Of Texas Pizza Lp,,TX,KS | TX,Pizza Hut,35
company,Dmfh Restaurant Enterprises Llc,,TEXAS,ARKANSAS | KANSAS | MISSOURI | TEXAS,Cinnabon,34
company,Ctx Restaurants Inc,,TX,TX,Dairy Queen,33
company,"Delect Foods Of Tri-City, Llc","Delect Foods Of Tri-City, Llc / Delect Foods, Llc",TX,TX,KFC | Pizza Hut,32
company,"Emerge Pizza Of San Antonio, Llc",,TX,TX,Pizza Hut,32
company,"Love'S Travel Stops & Country Stores, Inc.","Love'S Country Stores, Inc. / Love'S Travel Stops & Country Stores Inc / Love'S Travel Stops & Country Stores, Inc.",TX,AL | AR | AZ | FL | GA | IL | KS | LA | MS | NC | OH | OK | TX | VA,Bojangles | Buffalo Wild Wings | Dairy Queen,31
person,Kenneth P Kades,,TX,TX,McDonald's,31
person,Richard A Castro,,TX,NM | TX,McDonald's,30
company,"Rtl Foods, Llc",,TX,TX,Pizza Hut,30
