brand,franchisee_name,raw_address,city,state,zip,restaurant_phone
Bojangles,"New Generation Foods, Llc",7398 US Highway 431,Albertville,AL,35950,256-891-6154
Bojangles,"New Generation Foods, Llc",1316 Hwy 72 East,Athens,AL,35611,256-216-9373
Bojangles,"New Generation Foods, Llc",6111 Hwy 431 S,Brownsboro,AL,35741,256-585-1653
Bojangles,Cedartown Chicken Llc,1880 Gadsden Highway,Brimingham,AL,35235,205-655-8600
Bojangles,Cedartown Chicken Llc,5070 Highway 31,Calera,AL,35040,205-668-0146
Bojangles,Cedartown Chicken Llc,15392 US-280,Chelsea,AL,35043,205-678-0449
Bojangles,"Cedartown Chicken, Llc",25 South Daleville Ave,Daleville,AL,36322,334-596-1181
Bojangles,"New Generation Foods, Llc",2324 6th Avenue SE,Decatur,AL,35601,256-688-4389
Bojangles,"Cedartown Chicken, Llc",2794 Ross Clark Circle,Dothan,AL,36301,334-699-6828
Bojangles,"Cedartown Chicken, Llc",1074 Ross Clark Circle,Dothan,AL,36303,334-479-0350
Bojangles,"Cedartown Chicken, Llc",901 East Lee Street,Enterprise,AL,36330,334-475-3206
Bojangles,"New Generation Foods, Llc",109 Cox Creek Pkwy,Florence,AL,35630,256-765-7100
Bojangles,Cedartown Chicken Llc,1600 Morris Avenue,Fultondale,AL,35068,205-841-4118
Bojangles,"Love'S Travel Stops & Country Stores, Inc.",6647 Highway 46,Heflin,AL,36264,256-807-6001
Bojangles,"New Generation Foods, Llc",4323 University Drive,Huntsville,AL,35816,256-895-3317
Bojangles,"New Generation Foods, Llc",11375 South Memorial Pkwy,Huntsville,AL,35803,256-881-6469
Bojangles,"New Generation Foods, Llc",5015 North Memorial Pkwy,Huntsville,AL,35810,256-852-5700
Bojangles,"New Generation Foods, Llc",7049 Hwy 72 West,Huntsville,AL,35806,256-513-8272
Bojangles,"Love'S Travel Stops & Country Stores, Inc.",8400 Country Farm Rd.,Irvington,AL,36544,334-453-6030
Bojangles,Cedartown Chicken Llc,1061 J.D. and L. Drive SW,Jacksonville,AL,36265,256-728-1227
Bojangles,"New Generation Foods, Llc",101 J.E. Briscoe Way,Madison,AL,35758,256-325-2743
Bojangles,Cedartown Chicken Llc,4780 Eastern Valley Road,Mccalla,AL,35111,205-477-7140
Bojangles,"Bfcb Restaurants, Llc",3213 Dauphin Street,Mobile,AL,36606,228-327-3147
Bojangles,"Cedartown Phoenix, Llc",9066 Eastchasrkway,Montgomery,AL,36117,585-615-1484
Bojangles,"New Generation Foods, Llc",401 W. Avalon Avenue,Muscle Shoals,AL,35661,256-381-8777
Bojangles,Cedartown Chicken Llc,724 2nd Ave East,Oneonta,AL,35121,764-254-1920
Bojangles,"Galaten Foods, Llc",2484 Pepperell Pkwy,Opelika,AL,36801,334-737-5581
