brand,franchisee_name,raw_address,city,state,zip,restaurant_phone
Zaxby's,"T & C Foods, Inc.",9134 Hwy. 119 S.,Alabaster,AL,35007,(205) 663-5966
Zaxby's,"3Dc Enterprises, Inc.",4497 Hwy. 280,Alexander City,AL,35010,(256) 234-2181
Zaxby's,"Back Home Brothers, Llc",1000 River Fall St.,Andalusia,AL,36420,(334) 582-8484
Zaxby's,"Stu Foods, Llc",3234 McClellan Blvd.,Anniston,AL,36201,(256) 237-3132
Zaxby's,Credit To Ctc Al Llc,1300 N. Brindlee Mountain Pkwy.,Arab,AL,35016,(256) 640-8406
Zaxby's,"Fpv Al, Llc",221 French Farms Blvd.,Athens,AL,35611,(256) 233-0098
Zaxby's,"Zzz East, Llc",2075 E. University Dr.,Auburn,AL,36830,(334) 501-0852
Zaxby's,"Zzz, Llc",1659 S. College St.,Auburn,AL,36830,(334) 501-9881
Zaxby's,Credit To Ctc Al Llc,804 Academy Dr.,Bessemer,AL,35022,(205) 730-7953
Zaxby's,Credit To Ctc Al Llc,4815 Bell Hill Rd.,Bessemer,AL,35022,(205) 491-6486
Zaxby's,Credit To Ctc Al Llc,110 Doug Baker Blvd.,Birmingham,AL,35242,(205)-981-4536
Zaxby's,Credit To Ctc Al Llc,2735 John Hawkins Pkwy.,Birmingham,AL,35244,(205) 987-2022
Zaxby's,Credit To Ctc Al Llc,2636 Valleydale Rd.,Birmingham,AL,35244,(205) 437-9701
Zaxby's,Credit To Ctc Al Llc,5881 Trussville Crossings Blvd.,Birmingham,AL,35235,(706) 960-8188
Zaxby's,Credit To Ctc Al Llc,282 Palisades Blvd.,Birmingham,AL,35209,(205) 423-0523
Zaxby's,Credit To Ctc Al Llc,1548 Montclair Rd.,Birmingham,AL,35210,(205) 623-3087
Zaxby's,"T & C Foods, Inc.",3270 Morrow Rd.,Birmingham,AL,35235,(205) 661-0673
Zaxby's,Credit To Ctc Al Llc,2221 Hwy. 431,Boaz,AL,35957,(256) 593-8220
Zaxby's,Credit To Ctc Al Llc,102 Limestone Pkwy.,Calera,AL,35040,(205) 668-9886
Zaxby's,"Allen And Alan Zxb, Llc",1490 7th St. S.,Clanton,AL,35045,(205) 755-6227
Zaxby's,"Redwood Foods, Llc",5751 AL Hwy 157 NW,Cullman,AL,35058,(256) 841-6701
