brand,franchisee_name,raw_address,city,state,zip,restaurant_phone
KFC,Lvp Qsr 4 Development Llc,950 W Old Highway 66,Ash Fork,AZ,86320,702/522-8513
KFC,Lvp Qsr 4 Development Llc,3225 Rincon Road,Littlefield,AZ,86432,702/522-8513
KFC,"Happy Day, Inc.",72922 Baker Blvd.,Baker,CA,92309,310/748-1348
KFC,"Host International, Inc.",380 World Way,Los Angeles,CA,90045,201/390-9907
KFC,Happy Avenue 7 L.P.,32603 Avenue 7,Madera,CA,93637,310/748-1348
KFC,"Salton City Petroleum, Inc.",2084 S. Marina Drive,Salton City,CA,92274,310/748-1348
KFC,"Sass Foods, Inc.",100 Universal City Plaza,Universal City,CA,91608,818/652-5421
KFC,Harman Management Corporation,5550 East Woodmen Road,Colorado Springs,CO,80920,801/313-8000
KFC,"Mission Yogurt, Inc.",8500 Pena Blvd.,Denver,CO,80249,303/944-5844
KFC,Lvp Qsr 4 Development Llc,708 North Main Street,Lamar,CO,81052,702/522-8513
KFC,"Master Concessionair, Llc","4200 NW 21 Street (MIA Terminal 5, Pre-S)",Miami,FL,33122,305/218-1910
KFC,"Areas Usa Fltp, Llc",Mile Post 263,Ocoee,FL,34761,305/267-8510
KFC,"Areas Usa Fltp, Llc",Mile Marker 184,Okeechobee,FL,34972,305/267-8510
KFC,"Areas Usa Fltp, Llc",Mile Post 94,West Palm Beach,FL,33414,305/267-8510
KFC,"Areas Usa Fltp, Llc","Mile Post 299, Florida Turnpike",Wildwood,FL,34785,305/267-8510
KFC,"Alfarah Restaurant Group Of Il, Inc.",444 Chicago Ridge Mall,Chicago Ridge,IL,60415,708/204-3266
KFC,Bell Great Lakes Llc,13783 West Oasis Service Road,Lake Forest,IL,60045,417/883-3600
KFC,"Aramark Services, Inc.",1441 Gardiner Lane,Louisville,KY,40213,215/238-3000
KFC,"The Tinsley Family Concessions, Inc.",600 Terminal Drive,Louisville,KY,40209,863/299-7177
KFC,Service America Corporation,One Arena Plaza,Louisville,KY,40202,502/690-9065
KFC,Ta Operating Llc,145 Richwood Road,Walton,KY,41094,440/617-8931
KFC,Ta Operating Llc,8560 Greenwood Road,Greenwood,LA,71033,440/617-8931
KFC,Ta Operating Llc,10405 East Airline Highway,Saint Rose,LA,70087,440/617-8931
KFC,"Areas Usa Mdtp, Llc",I-95 at Mile Marker 96.8,North East,MD,21901,305/267-8510
KFC,"Morgan'S Restaurants Of Pennsylvania, Inc.",20245 Route 19,Cranberry Township,PA,16066,469/917-3800
KFC,Ta Operating Llc,272 Herring Road,Fair Play,SC,29643,440/617-8931
KFC,"Compass Group Usa, Inc.",7100 Corporate Drive,Plano,TX,75024,303/929-2313
KFC,"Graja, Inc.",1021 W Northern Lights Blvd,Anchorage,AK,99503,360/425-3982
KFC,"Graja, Inc.",1751 Abbot Road,Anchorage,AK,99507,360/425-3982
KFC,"Graja, Inc.",3922 San Jeronimo Street,Anchorage,AK,99508,360/425-3982
KFC,"Graja, Inc.",3428 Airport Way,Fairbanks,AK,99709,360/425-3982
KFC,"Wit-Rey, Inc.",1761 Palmer Wasilla Highway,Wasilla,AK,99654,907/349-9142
KFC,"Jack Marshall Foods, Inc.",7285 U.S. Highway 431,Albertville,AL,35950,205/553-8621
KFC,"Pmtd Restaurants, Llc",955 Airport Drive,Alexander City,AL,35010,770/384-1000
KFC,"F & F Food Service, Inc.",2000 Quintard Avenue,Anniston,AL,36201,770/650-2901
KFC,Article Four Trust Uw Roy W. Burchel,"205 U.S. Highway 72, W.",Athens,AL,35611,256/232-8033
KFC,"Jack Marshall Foods, Inc.",1225 South Main Street,Atmore,AL,36502,205/553-8621
KFC,"Champion Restaurants - Fiesta, Llc",500 Cherry Street,Attalla,AL,35954,770/578-8749
KFC,"Pmtd Restaurants, Llc",1580 Opelika Road,Auburn,AL,36830,770/384-1000
KFC,"Fqsr, Llc (Dba Kbp Foods)","1818 Ninth Avenue, North",Bessemer,AL,35020,913/428-3636
KFC,"Fqsr, Llc (Dba Kbp Foods)",1653 Center Point Road,Birmingham,AL,35215,913/428-3636
