brand,franchisee_name,raw_address,city,state,zip,restaurant_phone
Burger King,Army Air Force Exchange Services,Jarred Fukuda,Anchorage,AK,99506,(907) 753-4486
Burger King,Army Air Force Exchange Services,Building 9 5th St. Jber -Ft. Richardson,Anchorage,AK,99505-0000,(907) 428-2650
Burger King,"Shere Foods, Inc.",1405 West Northern Lights Blvd,Anchorage,AK,99503-2306,(907) 268-6631
Burger King,"Shere Foods, Inc.",900 East Dimond Blvd,Anchorage,AK,99515-2006,(509) 425-0489
Burger King,"Shere Foods, Inc.",700 Northway Dr,Anchorage,AK,99508-2029,(907) 279-0964
Burger King,Army Air Force Exchange Services,3408 Alder Ave,Fort Wainwright,AK,99703-5002,(907) 356-3130
Burger King,"Shere Foods, Inc.",1560 East Financial Dr,Wasilla,AK,99654-8237,(907) 205-3338
Burger King,"Bulldog Restaurants, Llc",681 1st St South West,Alabaster,AL,35007-8802,(205) 620-0120
Burger King,Schuster,4250 Highway 280,Alexander City,AL,35010-3365,(256) 329-2317
Burger King,"Bulldog Restaurants, Llc",1137 Mlk Expressway,Andalusia,AL,36420-5203,(334) 582-1558
Burger King,Schuster,1351 Golden Springs Rd,Anniston,AL,36207,(256) 403-6298
Burger King,Schuster,1818 Quintard Ave,Anniston,AL,36201-3853,(256) 237-4161
Burger King,"Bulldog Restaurants, Llc",220 South Main St,Atmore,AL,36502-2448,(251) 321-0167
Burger King,Schuster,1740 South College St,Auburn,AL,36832-5872,(334) 466-8961
Burger King,"Gps Hospitality Partners Iv, Llc",700 Mcmeans Ave,Bay Minette,AL,36507,(251) 236-8679
Burger King,"Bulldog Restaurants, Llc",740 Academy Dr,Bessemer,AL,35022-5200,(205) 481-2508
Burger King,"Bulldog Restaurants, Llc",3016 Allison-Bonnett Memorial Dr.,Bessemer,AL,35023-2360,(205) 436-8202
Burger King,"Bulldog Restaurants, Llc",5001 Bond Blvd,Bessemer,AL,35022-7301,(205) 426-2347
Burger King,"Sago Hospitality, Llc",1500 Pinson Valley Pkwy,Birmingham,AL,35217-2326,(205) 808-9889
Burger King,"Bulldog Restaurants, Llc",1484 Forestdale Blvd,Birmingham,AL,35214,(205) 538-5111
Burger King,"Bulldog Restaurants, Llc",801 3rd Ave West,Birmingham,AL,35204-4606,(205) 201-4508
Burger King,"Host Int'L, Inc",Birmingham Airport Concourse B/C Food Court,Birmingham,AL,35212,(205) 478-8353
Burger King,"Bulldog Restaurants, Llc",2700 University Blvd,Birmingham,AL,35233-3422,(205) 407-8429
Burger King,"Sago Hospitality, Llc",9528 Parkway East,Birmingham,AL,35215-8311,(205) 838-8255
Burger King,"Bulldog Restaurants, Llc",2229 Bessemer Rd,Birmingham,AL,35208-4711,(205) 201-4505
Burger King,"Bulldog Restaurants, Llc",1524 6th Ave South,Birmingham,AL,35233-1602,(205) 593-4419
Burger King,"Bulldog Restaurants, Llc",290 Oxmoor Rd,Birmingham,AL,35209-0000,(205) 943-1970
Burger King,"Bulldog Restaurants, Llc",1701 Douglas Ave,Brewton,AL,36426-1117,(251) 314-1976
Burger King,"Bulldog Restaurants, Llc",5076 Hwy 31,Calera,AL,35040,(205) 690-8578
Burger King,"Sago Hospitality, Llc",15622 Highway 280,Chelsea,AL,35043-8312,(205) 678-9900
Burger King,Schuster,33944 Us Highway 280,Childersburg,AL,35044-3038,(256) 378-7620
Burger King,Schuster,2127 7th St South,Clanton,AL,35045-8791,(205) 755-4156
Burger King,"Gps Hospitality Partners Iv, Llc",29685 State Highway 181,Daphne,AL,36526,(251) 236-8114
Burger King,"Gps Hospitality Partners Iv, Llc",29295 Highway 98,Daphne,AL,36526,(251) 230-8652
Burger King,"Sdg Restaurants, Inc",2057 Beltline Rd Sw,Decatur,AL,35601-5515,(256) 350-4736
Burger King,"Bulldog Restaurants, Llc",1003 Us Hwy 80 E,Demopolis,AL,36732-3711,(334) 289-1293
Burger King,"Bulldog Restaurants, Llc",2203 Ross Clark Cir,Dothan,AL,36301-5059,(334) 446-3221
Burger King,"Bulldog Restaurants, Llc","3092 Ross Clark Circle, S. W",Dothan,AL,36301-1122,(334) 446-3432
Burger King,"Bulldog Restaurants, Llc",701 Boll Weevil Cir,Enterprise,AL,36330-2036,(334) 489-4113
Burger King,Schuster,813 S Eufaula Ave,Eufaula,AL,36027,(334) 687-8666
Burger King,"Gps Hospitality Partners Iv, Llc",19755 Greeno Rd,Fairhope,AL,36532,(251) 236-8793
Burger King,"Sdg Restaurants, Inc",4240 Florence Blvd,Florence,AL,35634,(256) 272-7051
Burger King,"Sdg Restaurants, Inc",807 Cox Creek Parkway,Florence,AL,35630-1068,(256) 740-0204
Burger King,"Sdg Restaurants, Inc",1244 Florence Blvd,Florence,AL,35630-2725,(256) 766-4623
Burger King,"Gps Hospitality Partners Iv, Llc",910 South Mc Kenzie St,Foley,AL,36535,(251) 236-8739
Burger King,Army Air Force Exchange Services,453 S Novasel St,Fort Rucker,AL,36362-5109,(334) 598-1140
Burger King,"Bulldog Restaurants, Llc",414 East Meighan,Gadsden,AL,35903-1051,(256) 459-2511
Burger King,"Bulldog Restaurants, Llc",123 Premier Drive,Geneva,AL,36340,(334) 248-6309
Burger King,"Bulldog Restaurants, Llc",100 Interstate Dr,Greenville,AL,36037-3764,(334) 665-4101
Burger King,"Gps Hospitality Partners Iv, Llc",198 S Jackson St,Grove Hill,AL,36451,(251) 236-8621
Burger King,"B Rest, Llc",7074 State Highway 59,Gulf Shores,AL,36542,(251) 571-3039
Burger King,"Gps Hospitality Partners Iv, Llc",1501 Gulf Shores Pkwy,Gulf Shores,AL,36542,(251) 236-8792
Burger King,Ta Operating Llc,426 Al Hwy 69 S,Hanceville,AL,35077,(256) 287-1299
Burger King,"Bulldog Restaurants, Llc",16752 Us Highway 431 South,Headland,AL,36345,(334) 693-9000
Burger King,"Bulldog Restaurants, Llc",1555 Montgomery Highway,Hoover,AL,35216-4501,(205) 823-1442
Burger King,"Bulldog Restaurants, Llc",7581 Mobile Hwy,Hope Hull,AL,36043-4300,(334) 593-6003
Burger King,"Bulldog Restaurants, Llc",7757 Crestwood Blvd,Irondale,AL,35210-1927,(205) 201-4515
Burger King,"Gps Hospitality Partners Iv, Llc",2500 College Avenue,Jackson,AL,36545,(251) 298-5468
Burger King,"Bulldog Restaurants, Llc",122 Carl Cannon Blvd,Jasper,AL,35501,(205) 387-3115
Burger King,"Bulldog Restaurants, Llc",708 Highway 78 East,Jasper,AL,35501-3953,(205) 265-3386
Burger King,"Bulldog Restaurants, Llc",12560 County Rd 42,Jemison,AL,35085,(205) 688-1900
Burger King,"Aaa Foods, Inc.",75366 Al Highway 77,Lincoln,AL,35096-5034,(205) 763-0094
Burger King,"Gps Hospitality Partners Iv, Llc",639 Highway 28,Livingston,AL,35470,(205) 390-7708
Burger King,Army Air Force Exchange Services,25 W Selfridge St,Maxwell Afb,AL,36112-5987,(334) 265-3913
Burger King,"Bulldog Restaurants, Llc",22182 Hwy 216,Mccalla,AL,35111,(205) 477-4788
Burger King,"Gps Hospitality Partners Iv, Llc",7775 Moffat Rd,Mobile,AL,36618,(251) 236-8409
Burger King,"Gps Hospitality Partners Iv, Llc",3200 Springhill Ave,Mobile,AL,36607,(251) 236-8085
Burger King,"Gps Hospitality Partners Iv, Llc",5380 Highway 90 Dr West,Mobile,AL,36619,(251) 236-8457
Burger King,"Gps Hospitality Partners Iv, Llc",3949 Government Blvd,Mobile,AL,36609,(251) 236-8478
Burger King,"Gps Hospitality Partners Iv, Llc",3004 Airport Blvd,Mobile,AL,36606,(251) 236-8098
Burger King,"Gps Hospitality Partners Iv, Llc",3875 Airport Blvd,Mobile,AL,36608,(251) 236-8055
Burger King,"Gps Hospitality Partners Iv, Llc",7701 Airport Blvd,Mobile,AL,36608,(251) 236-8262
Burger King,"Gps Hospitality Partners Iv, Llc",6403 Cottage Hill Rd,Mobile,AL,36695,(251) 236-8543
Burger King,"Gps Hospitality Partners Iv, Llc",659 Government St,Mobile,AL,36602,(251) 263-9552
Burger King,"Bulldog Restaurants, Llc",601 Madison Ave,Montgomery,AL,36104-3633,(334) 263-9973
Burger King,"Bulldog Restaurants, Llc",4010 Atlanta Hwy,Montgomery,AL,36109-2921,(334) 523-1987
Burger King,"Bulldog Restaurants, Llc",2232 East South Blvd,Montgomery,AL,36116-2404,(334) 649-2757
Burger King,"Bulldog Restaurants, Llc",819 Ann St,Montgomery,AL,36107-2803,(334) 647-1809
Burger King,"Bulldog Restaurants, Llc",5525 Carmichael Rd,Montgomery,AL,36117-1840,(334) 279-9103
Burger King,Schuster,10065 Chantilly Pkwy,Montgomery,AL,36117-7589,(334) 213-6491
Burger King,Schuster,6621 Atlanta Highway,Montgomery,AL,36117-4233,(334) 271-3725
Burger King,"Bulldog Restaurants, Llc",3190 Taylor Rd,Montgomery,AL,36116-0000,(334) 676-2451
Burger King,"Sdg Restaurants, Inc",11157 Al Highway 157,Moulton,AL,35650-1909,(256) 290-1055
Burger King,"Sdg Restaurants, Inc",3105 Woodward Ave,Muscle Shoals,AL,35661-3319,(256) 381-0230
Burger King,"Gps Hospitality Partners Iv, Llc",3820 Mcfarland Blvd,Northport,AL,35476,(205) 390-7701
Burger King,Schuster,1400 Columbus Parkway,Opelika,AL,36804-5950,(334) 741-9120
Burger King,Schuster,415 Second Ave,Opelika,AL,36801-4313,(334) 749-3351
Burger King,"B Rest, Llc",23679 Canal Rd,Orange Beach,AL,36561,(251) 291-2036
Burger King,Schuster,1003 Highway 21 South,Oxford,AL,36203-2421,(256) 831-0491
Burger King,Schuster,1407 Parkhill Parkway,Pell City,AL,35125-1371,(205) 338-4303
Burger King,Schuster,1135 280 Bypass,Phenix City,AL,36867-5447,(334) 298-4874
Burger King,Schuster,1820 Stadium Dr,Phenix City,AL,36867-3100,(334) 480-8859
Burger King,"Bulldog Restaurants, Llc",204 East Us Highway 278,Piedmont,AL,36272,(256) 792-9098
Burger King,"Bulldog Restaurants, Llc",4520 Pinson Blvd,Pinson,AL,35126,(205) 687-7933
Burger King,Schuster,650 Malwest St,Prattville,AL,36066-7229,(334) 380-9488
Burger King,"Gps Hospitality Partners Iv, Llc",2924 Saint Stephens Rd,Prichard,AL,36612,(251) 236-8063
Burger King,"Bulldog Restaurants, Llc",3322 B Rainbow Dr,Rainbow City,AL,35906-6200,(256) 413-7882
Burger King,Army Air Force Exchange Services,5215 Martin Rd,Redstone Arsenal,AL,35898,(256) 881-1569
Burger King,Schuster,3194 Highway 431,Roanoke,AL,36274-1735,(334) 863-2235
Burger King,"Gps Hospitality Partners Iv, Llc",21891 State Highway 59 S,Robertsdale,AL,36567,(251) 236-8107
Burger King,"Gps Hospitality Partners Iv, Llc",310 Highway 43 North,Saraland,AL,36571,(251) 236-8616
Burger King,"Bulldog Restaurants, Llc",312 Highland Ave,Selma,AL,36701-6223,(334) 874-8300
Burger King,"Bulldog Restaurants, Llc",1980 Highway 77,Southside,AL,35907,(256) 485-1438
Burger King,"Bulldog Restaurants, Llc",40 Springville Station Lane,Springville,AL,35146,(205) 467-9468
Burger King,Schuster,202 West Fort Williams,Sylacauga,AL,35150-2432,(256) 245-3234
Burger King,Schuster,318 East Battle St,Talladega,AL,35160-2422,(256) 362-7687
Burger King,"Gps Hospitality Partners Iv, Llc",7050 Theodore Dawes Rd,Theodore,AL,36582,(251) 236-8437
Burger King,"Gps Hospitality Partners Iv, Llc",34356 Highway 43,Thomasville,AL,36784,(334) 523-0922
Burger King,"Bulldog Restaurants, Llc",832 Us 231 S Troy Hwy,Troy,AL,36081-3167,(334) 670-6649
Burger King,"Gps Hospitality Partners Iv, Llc",1601 Mcfarland Blvd No,Tuscaloosa,AL,35406,(205) 390-7715
Burger King,"Gps Hospitality Partners Iv, Llc",2515 Stillman Blvd,Tuscaloosa,AL,35401,(205) 390-7709
Burger King,"Gps Hospitality Partners Iv, Llc",4900 Skyland Blvd,Tuscaloosa,AL,35405,(205) 390-7707
Burger King,"Gps Hospitality Partners Iv, Llc",3808 Mcfarland Blvd,Tuscaloosa,AL,35405,(205) 390-7706
Burger King,"Sdg Restaurants, Inc",105 Highway 72 West,Tuscumbia,AL,35674-4440,(256) 383-9262
