brand,franchisee_name,raw_address,city,state,zip,restaurant_phone
Pizza Hut,Mp2 Alaska Llc,2220 Abbott Rd,Anchorage,AK,99507,907/868-0201
Pizza Hut,Mp2 Alaska Llc,"341 Boniface Pkwy, Unit I",Anchorage,AK,99504,907/337-2276
Pizza Hut,Mp2 Alaska Llc,3727 Spenard Highway,Anchorage,AK,99517,907/743-9978
Pizza Hut,Mp2 Alaska Llc,89 College Rd,Fairbanks,AK,99701,907/451-1788
Pizza Hut,Mp2 Alaska Llc,301 N Santa Claus Ln,North Pole,AK,99705,907/488-4239
Pizza Hut,Mp2 Alaska Llc,44332 Sterling Hwy,Soldotna,AK,99669,907/420-0645
Pizza Hut,Mp2 Alaska Llc,851 E Parks Hwy,Wasilla,AK,99654,907/373-6600
Pizza Hut,Hut Birmingham Llc,634 1st St N Ste 200,Alabaster,AL,35007,205/663-5137
Pizza Hut,Hut Birmingham Llc,6815 Hwy 431 South,Albertville,AL,35950,256/878-7373
Pizza Hut,"Arnold Family Of Restaurants, Llc",4581 Hwy 280,Alexander City,AL,35010,256/675-8004
Pizza Hut,Hut Tallahassee Llc,1203 Dr Martin Luther King Jr Exp,Andalusia,AL,36420,334/222-4106
Pizza Hut,Hut Birmingham Llc,2109 Quintard Avenue,Anniston,AL,36201,256/237-3251
Pizza Hut,Hut Nashville Llc,229 French Farms Blvd Ste A,Athens,AL,35611,256/233-1223
Pizza Hut,Hut Tallahassee Llc,1515 S Main St,Atmore,AL,36502,251/368-5646
Pizza Hut,Hut Mobile Llc,604 McMeans Ave,Bay Minette,AL,36507,251/937-6714
Pizza Hut,Hut Mobile Llc,14031 S Wintzell Ave,Bayou La Batre,AL,36509,251/824-3177
Pizza Hut,Hut Birmingham Llc,501 West Town Plaza Ste 101,Bessemer,AL,35020,205/426-1204
Pizza Hut,Hut Birmingham Llc,2016 5th Ave S.,Birmingham,AL,35233,205/323-1221
Pizza Hut,Hut Birmingham Llc,2145 Bessemer Rd.,Birmingham,AL,35208,205/781-6001
Pizza Hut,Hut Birmingham Llc,2346 Center Point Pkwy,Birmingham,AL,35215,205/856-5447
Pizza Hut,Hut Birmingham Llc,"437 Green Springs Hwy, Suite 121",Birmingham,AL,35209,205/942-6535
Pizza Hut,Hut Birmingham Llc,4500 Montevallo Rd Space No. A101,Birmingham,AL,35210,205/591-5200
Pizza Hut,Hut Birmingham Llc,4500 Valleydale Rd Ste 300,Birmingham,AL,35242,205/778-1905
Pizza Hut,Hut Birmingham Llc,10631 Highway 5 Rt. 2 Box 6 AAA Hwy. 5,Brent,AL,35034,205/926-6162
Pizza Hut,Hut Tallahassee Llc,590 South Blvd.,Brewton,AL,36426,251/867-7777
Pizza Hut,Hut Birmingham Llc,"136 Marketplace Circle, Suite C",Calera,AL,35040,205/668-4517
Pizza Hut,Hut Birmingham Llc,1558 W Main St,Centre,AL,35960,256/927-9222
Pizza Hut,Hut Birmingham Llc,411 Chelsea Crossroads,Chelsea,AL,35043,205/678-5665
Pizza Hut,"Arnold Family Of Restaurants, Llc",1211 7th St S,Clanton,AL,35045,659/226-2511
Pizza Hut,"Arnold Family Of Restaurants, Llc",1644 Brantley Ave. NW,Cullman,AL,35055,256/737-4064
Pizza Hut,Hut Mobile Llc,"2101 US Hwy 98, Suite L",Daphne,AL,36526,251/626-6063
Pizza Hut,Hut Birmingham Llc,"2941 Point Mallard Pkwy. SE, Suite I",Decatur,AL,35603,256/560-2953
Pizza Hut,Hut Nashville Llc,926 Beltline Rd SW,Decatur,AL,35601,256/353-3353
Pizza Hut,Hut Birmingham Llc,1912 SE Ross Clark Cir,Dothan,AL,36301,334/792-9884
Pizza Hut,"Arnold Family Of Restaurants, Llc",826 E Lee St,Enterprise,AL,36330,334/489-0238
Pizza Hut,Hut Mobile Llc,"18171 Wright Blvd, Ste 10",Fairhope,AL,36532,251/928-1145
Pizza Hut,Hut Tallahassee Llc,21465 HWY. 31,Flomaton,AL,36441,251/296-0040
Pizza Hut,Hut Nashville Llc,"859 Cox Creek Parkway, #2",Florence,AL,35630,256/767-5300
Pizza Hut,Hut Mobile Llc,1350 S. Mckenzie Rd.,Foley,AL,36535,251/910-0415
Pizza Hut,Hut Birmingham Llc,203 Greenhill Blvd.,Fort Payne,AL,35967,256/845-3800
Pizza Hut,Hut Birmingham Llc,1715 Decatur Hwy,Fultondale,AL,35068,205/922-029
Pizza Hut,Hut Birmingham Llc,510 E Meighan Blvd # 7,Gadsden,AL,35903,256/543-2100
Pizza Hut,Hut Tallahassee Llc,1000 W Maple Ave,Geneva,AL,36340,334/684-2431
Pizza Hut,Hut Birmingham Llc,41263C AL Hwy. 75,Geraldine,AL,35974,256/659-2424
Pizza Hut,Hut Mobile Llc,915 Fort Dale Rd,Greenville,AL,36037,334/382-6697
Pizza Hut,Hut Birmingham Llc,1819 11th Avenue,Haleyville,AL,35565,205/486-2800
Pizza Hut,Hut Birmingham Llc,360 Bexar Ave. East,Hamilton,AL,35570,205/921-2523
Pizza Hut,Hut Birmingham Llc,200 Highway 31 SW,Hartselle,AL,35640,256/773-2112
Pizza Hut,"Arnold Family Of Restaurants, Llc",16640 US Highway #431,Headland,AL,36345,334/693-2333
Pizza Hut,Hut Birmingham Llc,495 Helena Market Place,Helena,AL,35080,205/685-0204
Pizza Hut,Hut Birmingham Llc,2312 John Hawkins Pkwy,Hoover,AL,35244,205/403-9187
Pizza Hut,Hut Birmingham Llc,3029 Allison Bonnett Memorial Dr # 109,Hueytown,AL,35023,205/491-4889
Pizza Hut,Hut Birmingham Llc,11570 Memorial Pkwy S,Huntsville,AL,35803,256/880-9885
Pizza Hut,Hut Birmingham Llc,"2246 Winchester Rd. NE, Unit #308",Huntsville,AL,35811,256/859-9719
Pizza Hut,Hut Mobile Llc,2123 N. College,Jackson,AL,36545,251/246-2402
Pizza Hut,Hut Birmingham Llc,816 Pelham Rd S,Jacksonville,AL,36265,256/435-5202
