brand,franchisee_name,raw_address,city,state,zip,restaurant_phone
Applebee's,"Apple North, Inc.",4331 Credit Union Drive,Anchorage,AK,99503-6658,(907) 222-7753
Applebee's,"Apple Of North Alabama, Inc.",3001 Carter Hill Road,Montgomery,AL,36111-1801,(334) 264-9064
Applebee's,"Apple Of North Alabama, Inc.",11950 Hwy. 431 South,Guntersville,AL,35976-5675,(256) 878-9903
Applebee's,"Apple Of North Alabama, Inc.",4711 Norrell Drive,Trussville,AL,35173-2679,(205) 661-0607
Applebee's,"Apple Of North Alabama, Inc.",2271 Florence Blvd,Florence,AL,35630-2852,(256) 764-7644
Applebee's,"Apple Of North Alabama, Inc.",1917 Cobbs Ford Road,Prattville,AL,36066-7738,(334) 361-8899
Applebee's,"Apple Of North Alabama, Inc.",2041-A Beltline Road SW,Decatur,AL,35601-5515,(256) 340-0114
Applebee's,"Apple Of North Alabama, Inc.",3028 Memorial Pkwy SW,Huntsville,AL,35801-5303,(256) 881-8111
Applebee's,"Apple Of North Alabama, Inc.",1722 Rainbow Drive,Gadsden,AL,35901-5502,(256) 546-7774
Applebee's,"Apple Of North Alabama, Inc.",6601 Atlanta Highway,Montgomery,AL,36117-4233,(334) 396-0500
Applebee's,"Apple Of North Alabama, Inc.",1331 Hwy. 72 East,Athens,AL,35611-4405,(256) 233-4430
Applebee's,"Apple Of North Alabama, Inc.",3195 Taylor Road,Montgomery,AL,36116-6503,(334) 274-0009
Applebee's,"Apple Of North Alabama, Inc.",302 Hughes Road,Madison,AL,35758-1140,(256) 772-3441
Applebee's,Rmh Franchise Corporation,2409 S. McKenzie Street,Foley,AL,36535-3405,(251) 943-6006
Applebee's,"Neighborhood Restaurant Partners Florida Two, Llc","3050 Ross Clark Circle, S.W.",Dothan,AL,36301-1122,(334) 793-7800
Applebee's,"Neighborhood Restaurant Partners Florida Two, Llc",1688 U.S. Hwy. 231 South,Ozark,AL,36360-2843,(334) 445-0098
Applebee's,Apple Bama Llc,1627-34 Opelika Road,Auburn,AL,36830-1718,(334) 887-7747
Applebee's,Apple Bama Llc,612 Hamric Dr E,Oxford,AL,36203-1817,(256) 835-2434
Applebee's,Apple Bama Llc,2090 Highway 280/431,Phenix City,AL,36867-3613,(334) 448-2500
Applebee's,"Apple Of North Alabama, Inc.",2106 Cherokee Ave SW,Cullman,AL,35055-5568,(256) 736-6336
Applebee's,"Apple Of North Alabama, Inc.",111 Airport Road West,Fort Payne,AL,35968-3347,(256) 273-5245
Applebee's,"Apple Of North Alabama, Inc.",2009 Hwy 78 E,Jasper,AL,35501,(205) 544-2130
Applebee's,"Apple Of North Alabama, Inc.",3150 Memorial Parkway NW,Huntsville,AL,35810-2404,(256) 859-4200
Applebee's,"Apple Of North Alabama, Inc.",2246 Bessemer Road,Birmingham,AL,35207-4712,(205) 451-1031
Applebee's,"Apple Of North Alabama, Inc.",1250 Boots Blvd,Fultondale,AL,35068-1670,(205) 380-8282
Applebee's,"Apple Of North Alabama, Inc.",5050 Academy Lane,Bessemer,AL,35022-5249,(205) 424-5255
Applebee's,"Apple Of North Alabama, Inc.",2933 John Hawkins Pkwy,Hoover,AL,35244-1095,(205) 444-1102
Applebee's,"Apple Of North Alabama, Inc.",1701 McFarland Blvd. East,Tuscaloosa,AL,35404-5833,(205) 633-0900
Applebee's,"Apple Of North Alabama, Inc.",360 Cahaba Valley Rd,Pelham,AL,35124-1398,(205) 982-1022
Applebee's,"Apple Of North Alabama, Inc.",1600 Huffman Road,Center Point,AL,35215-5519,(205) 853-3200
Applebee's,"Apple Arkansas, Inc.",2133 N. West Ave.,El Dorado,AR,71730-3351,(870) 881-9600
Applebee's,"Apple Arkansas, Inc.",3953 W. Sunset Avenue,Springdale,AR,72762-4923,(479) 751-9844
Applebee's,"Hop 3193, Llc",401 East Harrell Drive,Russellville,AR,72802-2276,(479) 968-4467
Applebee's,"Apple Central, Llc",528 N 47th Street,Rogers,AR,72756-9528,(479) 936-8989
Applebee's,Rmh Franchise Corporation,2053 S. Alma School Road,Mesa,AZ,85210-4002,(480) 831-7557
Applebee's,Rmh Franchise Corporation,3899 El Mercado Loop,Sierra Vista,AZ,85635-5211,(520) 459-1664
Applebee's,Rmh Franchise Corporation,1881 East Highway 69,Prescott,AZ,86301-5671,(928) 445-8787
Applebee's,Rmh Franchise Corporation,5880 W. Peoria Ave.,Glendale,AZ,85302-1302,(623) 878-3500
Applebee's,Rmh Franchise Corporation,2651 N 75th Ave,Phoenix,AZ,85035-1209,(623) 849-8895
Applebee's,Rmh Franchise Corporation,6259 E. Southern Avenue,Mesa,AZ,85206-3714,(480) 830-3099
Applebee's,Rmh Franchise Corporation,5870 East Broadway,Tucson,AZ,85711-3245,(520) 750-9780
Applebee's,Rmh Franchise Corporation,2547 N 44th Street,Phoenix,AZ,85008-2444,(602) 952-0033
Applebee's,Rmh Franchise Corporation,13832 W. McDowell Road,Goodyear,AZ,85338-2259,(623) 536-8440
Applebee's,Rmh Franchise Corporation,2180 E. Baseline Road,Phoenix,AZ,85042-6953,(602) 323-5680
Applebee's,Rmh Franchise Corporation,2230 W. Ina Road,Tucson,AZ,85741-2649,(520) 297-2220
Applebee's,Rmh Franchise Corporation,1143 N. Higley Road,Mesa,AZ,85205-5305,(480) 981-4667
Applebee's,Rmh Franchise Corporation,4712 E. Ray Rd.,Higley,AZ,85236-5002,(480) 279-0824
Applebee's,Rmh Franchise Corporation,8001 West Bell Road,Peoria,AZ,85382-3824,(623) 878-1410
Applebee's,Rmh Franchise Corporation,5210 W Baseline Rd.,Laveen,AZ,85339-2949,(602) 605-8010
Applebee's,Rmh Franchise Corporation,2032 East Baseline Road,Mesa,AZ,85204-6965,(480) 545-4299
Applebee's,Rmh Franchise Corporation,13756 W. Bell Road,Surprise,AZ,85374-3865,(623) 544-0368
Applebee's,Rmh Franchise Corporation,9330 W. Northern Ave.,Glendale,AZ,85305-1103,(623) 877-4885
Applebee's,"Apple Yuma Foothills, Inc.",11274 S. Fortuna Road,Yuma,AZ,85367-7847,(928) 305-9200
Applebee's,"Apple Yuma Ii, Inc.",1100 East 16th Street,Yuma,AZ,85365-2016,(928) 782-7474
Applebee's,Apple Socal Llc,291 W. Ventura Blvd,Camarillo,CA,93010-8359,(805) 445-7160
Applebee's,Apple Socal Llc,377 N. Citrus Ave,Azusa,CA,91702-3909,(626) 334-5103
Applebee's,Apple Socal Llc,27750 Newport Road,Menifee,CA,92584-9107,(951) 301-5094
Applebee's,Apple Socal Llc,43545 10th St. West,Lancaster,CA,93534-6005,(661) 942-6410
Applebee's,Apple Socal Llc,3030 Plaza Bonita Road,National City,CA,91950-8009,(619) 475-1855
Applebee's,Apple Socal Llc,12600 Day Street,Moreno Valley,CA,92553-7572,(951) 413-1418
Applebee's,Apple Socal Llc,2800 N. Main Street,Santa Ana,CA,92705-6016,(657) 212-6701
Applebee's,Apple Socal Llc,4935 Graywood Ave,Lakewood,CA,90712-2514,(562) 531-0980
Applebee's,Apple Socal Llc,107 Fletcher Parkway,El Cajon,CA,92020-2510,(619) 593-3066
Applebee's,Apple Socal Llc,7677 Balboa Avenue,San Diego,CA,92111-2230,(858) 569-4590
Applebee's,Apple Socal Llc,2146 Vista Way,Oceanside,CA,92054-5600,(760) 757-5848
Applebee's,Apple Socal Llc,3820 Mulberry,Riverside,CA,92507-4222,(951) 369-7447
Applebee's,Apple Socal Llc,521 N. McKinley,Corona,CA,92879-1292,(951) 371-1995
Applebee's,Apple Socal Llc,3956 Grand Avenue,Chino,CA,91710-5435,(909) 590-7844
Applebee's,Apple Socal Llc,10709 Foothill Blvd,Rancho Cucamonga,CA,91730-3858,(909) 980-3633
Applebee's,Apple Socal Llc,12375 Limonite Avenue,Mira Loma,CA,91752-3726,(951) 360-8537
Applebee's,Apple Socal Llc,39720 N 10th Street West,Palmdale,CA,93551-3001,(661) 266-9100
Applebee's,Apple Socal Llc,899 East Spring St,Signal Hill,CA,90755-1702,(562) 426-6723
Applebee's,Apple Socal Llc,9480 East Mira Mesa Blvd.,San Diego,CA,92126-4846,(858) 578-8280
Applebee's,Apple Socal Llc,1216 Auto Park Way,Escondido,CA,92029-2225,(760) 743-6612
Applebee's,Apple Socal Llc,2508 Jamacha,El Cajon,CA,92019-4364,(619) 670-7203
Applebee's,Apple Socal Llc,32175 Hwy. 79,Temecula,CA,92592-6809,(951) 506-7852
Applebee's,Apple Socal Llc,2046 W Redlands Blvd,Redlands,CA,92373-6228,(909) 335-7372
Applebee's,Apple Socal Llc,2515 W. Florida Ave.,Hemet,CA,92545-4615,(951) 791-2506
Applebee's,Apple Socal Llc,24872 Madison Avenue,Murrieta,CA,92562-6046,(951) 894-1846
Applebee's,Apple Socal Llc,19201 Bear Valley Road,Apple Valley,CA,92308-2702,(760) 240-9195
Applebee's,Apple Socal Llc,9255 Winnetka Ave,Chatsworth,CA,91311-8166,(818) 885-6519
Applebee's,Apple Socal Llc,610 Palomar St,Chula Vista,CA,91911-7134,(619) 585-4753
Applebee's,Apple Socal Llc,1590 Azusa Ave,City Of Industry,CA,91748-1603,(626) 965-6940
Applebee's,Apple Socal Llc,2114 E Lincoln Ave,Anaheim,CA,92806-4104,(714) 817-7806
Applebee's,Apple Socal Llc,1238 West Imperial Highway,La Habra,CA,90631-6934,(562) 690-0779
Applebee's,Apple Socal Llc,4070 E Highland Avenue,Highland,CA,92346-2637,(909) 425-9020
Applebee's,Apple Socal Llc,12044 Amargosa Road,Victorville,CA,92392-8122,(760) 947-6294
Applebee's,Apple Socal Llc,16867 Sierra Lakes Parkway,Fontana,CA,92336-1226,(909) 854-1003
Applebee's,Apple Norcal Llc,2659 W. March Lane,Stockton,CA,95207-6522,(209) 952-9330
Applebee's,Apple Norcal Llc,1000 Tharp Road,Yuba City,CA,95993-2617,(530) 822-9566
Applebee's,Apple Norcal Llc,3281 Coach Lane,Cameron Park,CA,95682-8487,(530) 677-8677
Applebee's,Apple Norcal Llc,2250 Santa Rosa Avenue,Santa Rosa,CA,95407-7623,(707) 576-0552
Applebee's,Apple Norcal Llc,1041 Admiral Callaghan Lane,Vallejo,CA,94591-3681,(707) 558-0824
Applebee's,Apple Norcal Llc,9105 E Stockton Blvd,Elk Grove,CA,95624-9456,(916) 685-0321
Applebee's,Apple Norcal Llc,1790 E. Main Street,Woodland,CA,95776-6223,(530) 668-8282
Applebee's,Apple Norcal Llc,2770 Taylor St,San Francisco,CA,94133-1204,(415) 749-9025
Applebee's,Apple Norcal Llc,195 Soscol Ave.,Napa,CA,94559-4009,(707) 224-0502
Applebee's,Apple Norcal Llc,5301 Old Redwood Hwy,Petaluma,CA,94954-1166,(707) 792-0500
Applebee's,Apple Norcal Llc,8931 Brooks Road South,Windsor,CA,95492-7850,(707) 836-0642
Applebee's,Apple Norcal Llc,2442 W Kettleman Lane,Lodi,CA,95242-4123,(209) 369-6657
Applebee's,Apple Norcal Llc,1350 Travis Blvd #Z-5,Fairfield,CA,94533-3432,(707) 399-0796
Applebee's,Apple Norcal Llc,6811 Lonetree Blvd.,Rocklin,CA,95765-5875,(916) 771-2583
Applebee's,Apple Norcal Llc,3601 Truxel Rd.,Sacramento,CA,95833-3619,(916) 928-8488
Applebee's,Apple Norcal Llc,2024 Arden Way,Sacramento,CA,95825-2202,(916) 564-5296
Applebee's,Apple Norcal Llc,6900 Auburn Blvd,Citrus Heights,CA,95621-4205,(916) 721-3550
Applebee's,"Apple Core Enterprises, Inc.",82894 Highway 111,Indio,CA,92201-5638,(760) 342-4149
Applebee's,Apple Mid Cal Llc,621 W. Central Ave,Lompoc,CA,93436-2837,(805) 735-2141
Applebee's,Apple Mid Cal Llc,1105 S. Green Valley Road,Watsonville,CA,95076-4128,(831) 728-7272
Applebee's,Apple Mid Cal Llc,1415 S. Bradley,Santa Maria,CA,93454-8010,(805) 922-6633
Applebee's,Apple Mid Cal Llc,1301 N. Davis Road,Salinas,CA,93907-1988,(831) 757-6682
Applebee's,"Applevalley, Inc.",57796 29 Palms Hwy,Yucca Valley,CA,92284-3070,(760) 365-2900
Applebee's,"Apple Bmont, Inc.",1585 E 6th Street,Beaumont,CA,92223-2507,(951) 845-3638
Applebee's,Apple Cal Llc,5690 Cottle Rd,San Jose,CA,95123-3696,(408) 809-4980
Applebee's,Apple Cal Llc,851 Sanguinetti Road,Sonora,CA,95370-5243,(209) 533-9670
Applebee's,Apple Cal Llc,1272 E. Yosemite Ave.,Manteca,CA,95336-5002,(209) 824-4499
Applebee's,Apple Cal Llc,555 Saratoga Ave.,San Jose,CA,95129-1937,(408) 446-8370
Applebee's,Apple Cal Llc,3060 N. Naglee Road,Tracy,CA,95304-7311,(209) 834-0360
Applebee's,Apple Cal Llc,51 Curtner Ave,San Jose,CA,95125-1058,(408) 295-7150
Applebee's,Apple Cal Llc,820 Commerce Ave,Atwater,CA,95301-5217,(209) 358-2191
Applebee's,Apple Mid Cal Ii Llc,8430 North Friant Road,Fresno,CA,93720-1597,(559) 261-2331
Applebee's,Apple Mid Cal Ii Llc,892 W Henderson Ave,Porterville,CA,93257-1780,(559) 788-2031
Applebee's,Apple Mid Cal Ii Llc,39139 Farwell Drive,Fremont,CA,94537-1004,(510) 742-6400
Applebee's,Apple Mid Cal Ii Llc,3400 S. Mooney Blvd.,Visalia,CA,93277-7772,(559) 734-2332
Applebee's,Apple Mid Cal Ii Llc,5325 Avenida De Los Robles,Visalia,CA,93291-5001,(559) 636-1605
Applebee's,Apple Mid Cal Ii Llc,"9000 Ming Avenue, Suite M",Bakersfield,CA,93311-1324,(661) 664-0974
Applebee's,Apple Mid Cal Ii Llc,98 Shaw Avenue,Clovis,CA,93612-3802,(559) 322-9890
Applebee's,Apple Mid Cal Ii Llc,2263 South Shore Center,Alameda,CA,94501-8071,(510) 522-7071
Applebee's,Apple Mid Cal Ii Llc,1665 West Lacey Blvd,Hanford,CA,93230-5910,(559) 583-8084
Applebee's,Apple Mid Cal Ii Llc,24041 Southland Drive,Hayward,CA,94545-1500,(510) 782-6400
Applebee's,Apple Mid Cal Ii Llc,3604 West Shaw,Fresno,CA,93711-3231,(559) 271-9844
Applebee's,Apple Mid Cal Ii Llc,1369 Fitzgerald Drive,Pinole,CA,94564-2251,(510) 243-0400
Applebee's,Apple Socal Ii Llc,674 West Arrow Highway,San Dimas,CA,91773-2958,(909) 394-7600
Applebee's,Apple Socal Ii Llc,21625 E. Valley Blvd.,Walnut,CA,91789-2019,(909) 594-1140
Applebee's,Apple Socal Ii Llc,21 E. Main Street,Alhambra,CA,91801-3514,(626) 576-4621
Applebee's,Apple Socal Ii Llc,1493 N. Montebello Blvd.,Montebello,CA,90640-2586,(323) 278-0250
