brand,franchisee_name,raw_address,city,state,zip,restaurant_phone
Dairy Queen,Pss Inc,508 S 4th St,Paragould,AR,,8702367796
Dairy Queen,Mmpr Aj Hospitality Llc,2300 W Apache Trl,Apache Junction,AZ,,4809825723
Dairy Queen,Anyves Ganuba Llc,219 Bisbee Rd,Bisbee,AZ,,5204324436
Dairy Queen,Mmpr Bullhead City Hospitality Llc,2179 Highway 95,Bullhead City,AZ,,6026123549
Dairy Queen,D S Enterprises Inc,3111 W Chandler Blvd Ste Ff-212,Chandler,AZ,,4802577070
Dairy Queen,Marie Cowgur Russell Llc,4976 Premium Outlets Way Ste 730,Chandler,AZ,,4802507500
Dairy Queen,Q2 Cool Ops Llc,987 N Arizona Blvd,Coolidge,AZ,,5206355695
Dairy Queen,Kool Treats Llc,51 W 5th St,Douglas,AZ,,5203642542
Dairy Queen,"Menneke, Douglas W / Menneke, Donna L",603 S Milton Rd,Flagstaff,AZ,,9287792028
Dairy Queen,Q3 Pecos Llc,3107 S Gilbert Rd Ste 112,Gilbert,AZ,,4807268111
Dairy Queen,Q3 Higley Llc,3303 E Queen Creek Rd Ste A-101,Gilbert,AZ,,4802795001
Dairy Queen,Mmpr Union Hills Hospitality Llc,4410 W Union Hills Dr Ste 3,Glendale,AZ,,6026123549
Dairy Queen,D S Enterprises Inc,7700 W Arrowhead Towne Ctr #2094,Glendale,AZ,,6234865157
Dairy Queen,D S Enterprises Inc,6800 N 95th Ave,Glendale,AZ,,6238773147
Dairy Queen,T & R Leon Ventures Llc,1051 W Beta St,Green Valley,AZ,,4144678237
Dairy Queen,Mmpr Kingman Holdings Llc,3152 N Stockton Hill Rd,Kingman,AZ,,6026123549
Dairy Queen,Dove Mtn Treats Llc,12050 N Thornydale Rd Ste 100,Marana,AZ,,5206396525
Dairy Queen,Q3 Marana Main St Llc,13828 N Sandario Rd,Marana,AZ,,5202992793
Dairy Queen,S&A Concepts Llc,33 S Country Clb Dr,Mesa,AZ,,4809649551
