brand,franchisee_name,raw_address,city,state,zip,restaurant_phone
Little Caesars,0360-0001,1032 BOLL WEEVIL CIR,Enterprise,ALABAMA,36330,
Little Caesars,0360-0003,1550 WESTGATE PKWY,Dothan,ALABAMA,36303,
Little Caesars,0360-0004,919 DALEVILLE AVE,Daleville,ALABAMA,36322,
Little Caesars,0360-0005,2090 S. Oates St.,Dothan,ALABAMA,36301,
Little Caesars,0360-0007,100 APPLE AVE STE 1,Dothan,ALABAMA,36303,
Little Caesars,0369-0005,2215 DANVILLE RD SW,Decatur,ALABAMA,35601,
Little Caesars,0369-0007,1409 WOODWARD AVE,Muscle Shoals,ALABAMA,35661,
Little Caesars,0369-0008,2598A SPARKMAN DR,Huntsville,ALABAMA,35810,
Little Caesars,0369-0009,1593-G HUGHES RD,Madison,ALABAMA,35758,
Little Caesars,0369-0010,1307 HIGHWAY 31 NORTH,Hartselle,ALABAMA,35640,
Little Caesars,0369-0011,1626 DARBY DRIVE,Florence,ALABAMA,35630,
Little Caesars,0369-0012,13655 HIGHWAY 43,Russellville,ALABAMA,35653,
Little Caesars,0369-0013,1415 6TH AVENUE SE,Decatur,ALABAMA,35601,
Little Caesars,0369-0015,5475 B HWY 157 NW,Cullman,ALABAMA,35055,
Little Caesars,0369-0016,10878 COUNTY LINE RD,Madison,ALABAMA,35756,
Little Caesars,1087-0001,2625 W MEIGHAN,Gadsden,ALABAMA,35904,
Little Caesars,1087-0003,2044 US HIGHWAY 431,Boaz,ALABAMA,35957,
Little Caesars,1087-0004,1740 EAST MEIGHAN AVE,Gadsden,ALABAMA,35903,
Little Caesars,1087-0005,3506-A RAINBOW DR.,Rainbow City,ALABAMA,35906,
Little Caesars,1087-0006,7347 US HIGHWAY 431,Albertville,ALABAMA,35950,
Little Caesars,1087-0007,1494 CHESTNUT BYPASS,Centre,ALABAMA,35960,
Little Caesars,1087-0008,2040 GUNTER AVE,Guntersville,ALABAMA,35976,
Little Caesars,1087-0009,603 Gilbert Ferry road,Attalia,ALABAMA,35954,
Little Caesars,1087-0010,101 HAMRIC DR E,Oxford,ALABAMA,36203,
Little Caesars,1171-0002,2-B WEST RIDGE DRIVE,Phenix City,ALABAMA,36870,
Little Caesars,1171-0006,"1843-A STADIUM DR., #19",Phenix City,ALABAMA,36867,
Little Caesars,1204-0003,1000 HIGHWAY 31 S,Athens,ALABAMA,35611,
Little Caesars,1559-0001,636 S. MEMORIAL DR.,Prattville,ALABAMA,36067,
Little Caesars,1559-0003,3621 HIGHWAY 14,Millbrook,ALABAMA,36054,
Little Caesars,1559-0006,1515 2ND AVE,Opelika,ALABAMA,36801,
Little Caesars,1559-0007,3004 MCGEHEE RD,Montgomery,ALABAMA,36111,
Little Caesars,1559-0008,5853 ATLANTA HWY,Montgomery,ALABAMA,36117,
