brand,franchisee_name,raw_address,city,state,zip,restaurant_phone
Jimmy John's,"Jeight, Inc.",634 1st St N,Alabaster,AL,35007,205-564-8228
Jimmy John's,"Wildcat Investments Of Alabama, Llc/B&B Foods, Llc",126 N College St,Auburn,AL,36830,334-502-0444
Jimmy John's,"Jeight, Inc.",3411 Colonnade Pkwy,Birmingham,AL,35243,205-262-4788
Jimmy John's,"Jeight, Inc.",5431 Patrick Way,Birmingham,AL,35235,205-655-4104
Jimmy John's,"Jeight, Inc.",323 20th St N,Birmingham,AL,35203,205-957-6565
Jimmy John's,"Jeight, Inc.",1919 11th Ave S,Birmingham,AL,35205,205-933-2425
Jimmy John's,"Cullman Sandwich Company, Llc",107 Arnold St NW,Cullman,AL,35055,256-737-4000
Jimmy John's,"Blue Boiler Cats 4304, Inc.",1539 US-98,Daphne,AL,36526,251-2869090
Jimmy John's,"Jj Huntsville, Llc",2401 6th Ave SE,Decatur,AL,35601,256-584-9997
Jimmy John's,"Jjdothan, Inc.",4440 W Main St,Dothan,AL,36305,334-792-2577
Jimmy John's,"Jeight, Inc.",913 Rucker Blvd,Enterprise,AL,36330,334-417-0290
Jimmy John's,Jj Huntsville Downtown Llc,101 N Court St,Florence,AL,35630,256-768-9994
Jimmy John's,"Blue Boiler Cats Al, Inc.",1750 S McKenzie St,Foley,AL,36535,251-943-0522
Jimmy John's,Hartselle Sandwich Company Llc,587 US-31,Hartselle,AL,35640,256-286-0099
Jimmy John's,"Jeight, Inc.",4730 Chace Circle,Hoover,AL,35244,205-682-2777
Jimmy John's,"Jeight, Inc.",5250 Medford Dr,Hoover,AL,35244,205-985-2000
Jimmy John's,"Summerfield Sandwich Company, Llc",975 Airport Rd SW,Huntsville,AL,35802,256-213-9997
Jimmy John's,Jj Huntsville Downtown Llc,125 Northside Sq,Huntsville,AL,35801,256-534-9996
Jimmy John's,"Jeight, Inc.",505 Pelham Rd N,Jacksonville,AL,36265,256-365-2001
Jimmy John's,"Summerfield Sandwich Company, Llc",7690 Hwy 72 W,Madison,AL,35758,256-864-9997
Jimmy John's,"Blue Boiler Cats 2639, Inc.",62 B S Royal St,Mobile,AL,36602,251-432-0360
Jimmy John's,"Blue Boiler Cats 4010, Inc.",5167 Rangeline Service Rd. N.,Mobile,AL,36619,251-308-3166
Jimmy John's,"Blue Boiler Cats 4611, Inc.",1753 SpringHill Ave,Mobile,AL,36607,251-321-9077
Jimmy John's,"Blue Boiler Cats 823, Inc.",9 Du Rhu Dr,Mobile,AL,36608,251-340-8694
Jimmy John's,"Blue Boiler Cats 844, Inc.",6920 Airport Blvd,Mobile,AL,36608,251-414-5444
Jimmy John's,Freaky Fast Llc,1756 Carter Hill Rd,Montgomery,AL,36106,334-356-7744
Jimmy John's,"Freaky Fast 2, Llc",130 Commerce St,Montgomery,AL,36104,334-676-3803
Jimmy John's,"Freaky Fast 1, Inc.",1470 Taylor Rd,Montgomery,AL,36117,334-239-7913
Jimmy John's,"Blue Boiler Cats 4305, Inc.",30362 AL Hwy 181,Spanish Fort,AL,36527,251-244-5551
Jimmy John's,"Jeight, Inc.",815 Lurleen B Wallace Blvd South,Tuscaloosa,AL,35401,205-722-2268
Jimmy John's,"Jeight, Inc.",7402 Hwy 69 S,Tuscaloosa,AL,35405,205-345-9888
Jimmy John's,"Jeight, Inc.",512 15th St E,Tuscaloosa,AL,35401,205-349-2626
Jimmy John's,"Jeight, Inc.",1400 University Blvd,Tuscaloosa,AL,35401,205-366-3699
Jimmy John's,"Jeight, Inc.",1875 McFarland Blvd N,Tuscaloosa,AL,35406,205-752-7714
Jimmy John's,"Jeight, Inc.",1919 Kentucky Ave,Vestavia Hills,AL,35216,205-637-0707
Jimmy John's,"Jthree, Inc.",500 SE Walton Blvd,Bentonville,AR,72712,479-250-9999
Jimmy John's,Sholes Group Ii Llc,603 Salem Rd,Conway,AR,72034,501-329-2200
Jimmy John's,Sholes Group Ii Llc,"890 Exchange Avenue, Suite 101",Conway,AR,72032,501-358-5757
Jimmy John's,"Jthree, Inc.",3379 N College Ave,Fayetteville,AR,72703,479-287-4513
Jimmy John's,"Jthree, Inc.",518 W Dickson,Fayetteville,AR,72701,479-571-0600
Jimmy John's,Rrb Harrison Llc,800 Hwy 62-65 N,Harrison,AR,72601,870-204-5657
Jimmy John's,R & G Gourmet Subs,3801 Central Ave,Hot Springs,AR,71913,501-525-7827
Jimmy John's,Rrb Red Wolf Llc,1319 Red Wolf Blvd,Jonesboro,AR,72401,870-932-7827
Jimmy John's,"Gh Food Group Little Rock, Llc",700 S Broadway St,Little Rock,AR,72201,501-372-1600
Jimmy John's,"Gh Food Group Little Rock, Llc",12206 W Markham St,Little Rock,AR,72211,501-223-9400
Jimmy John's,Workman'S Travel Center No. 3 Llc,898 W Monroe Ave,Lowell,AR,72745,479-408-4001
Jimmy John's,Rrb Magnolia Ventures Llc,50 Hwy 79 N,Magnolia,AR,71753,870-234-7771
Jimmy John's,Rrb Mountain Home Llc,650 Market St,Mountain Home,AR,72653,870-580-0585
Jimmy John's,"Gh Food Group Little Rock, Llc",4120 E McCain Blvd,North Little Rock,AR,72117,501-945-9501
Jimmy John's,"Jthree, Inc.",2004 Promenade Blvd,Rogers,AR,72758,479-202-5000
Jimmy John's,"Jthree, Inc.",3200 E US 412,Siloam Springs,AR,72761,479-373-1111
Jimmy John's,"Jthree, Inc.",4276 W Sunset,Springdale,AR,72762,479-927-0399
Jimmy John's,"Atlas Ngc, Inc.",10110 W McDowell Rd,Avondale,AZ,85392,623-643-9380
Jimmy John's,"Atlas Ngc, Inc.",818 S Watson Rd,Buckeye,AZ,85326,623-386-1442
Jimmy John's,Walters Boys Llc,19550 W Indian School Rd,Buckeye,AZ,85396,623-248-4693
Jimmy John's,Walters Boys Llc,1045 N. Verrado Way,Buckeye,AZ,85326,623-294-3622
Jimmy John's,Pbj Subs 003 Llc,3701 Hwy 95,Bullhead City,AZ,86442,928-704-0222
Jimmy John's,T&M Brothers Cg Management Llc,1321 E Florence Blvd,Casa Grande,AZ,85122,520-836-6060
Jimmy John's,"Irusta Group, Llc",4935 E. Carefree Hwy,Cave Creek,AZ,85331,480-437-2389
Jimmy John's,"Chandler Jj, Llc",800 N 54th St,Chandler,AZ,85226,480-785-2323
Jimmy John's,"Chandler Jj, Llc",3395 W Chandler Blvd,Chandler,AZ,85226,480-722-1860
Jimmy John's,"B & B Phoenix, Llc",2170 N Arizona Ave,Chandler,AZ,85225,480-246-3663
Jimmy John's,Bacus Foods Corp,2640 E Germann Rd,Chandler,AZ,85286,480-786-4444
Jimmy John's,Bacus Foods Corp,2960 S Alma School Rd,Chandler,AZ,85286,480-917-1125
Jimmy John's,"Gh Food Group, Llc",1020 S Milton Rd,Flagstaff,AZ,86001,928-774-6200
Jimmy John's,Bacus Foods Corp,1515 N Gilbert Rd,Gilbert,AZ,85234,480-497-6800
Jimmy John's,Bacus Foods Corp,1981 E Pecos Rd,Gilbert,AZ,85297,480-840-3222
Jimmy John's,Walters Boys Llc,7708 W Bell Rd,Glendale,AZ,85308,623-334-3377
Jimmy John's,"Atlas 0519, Inc.",5890 W Thunderbird Rd,Glendale,AZ,85306,602-507-4893
Jimmy John's,Walters Boys Llc,18589 N 59th Ave,Glendale,AZ,85308,602-993-1499
Jimmy John's,"M&N Olive, Llc",5826 W Olive Ave,Glendale,AZ,85302,623-213-8477
Jimmy John's,"Atlas Ngc, Inc.",13824 W McDowell Rd,Goodyear,AZ,85395,623-536-5194
Jimmy John's,"Atlas Ngc, Inc.",1120 N Estrella Pkwy,Goodyear,AZ,85338,623-932-5760
Jimmy John's,Pbj Subs 002 Llc,3411 Stockton Hill Rd,Kingman,AZ,86409,928-757-7770
Jimmy John's,Pbj Subs 001 Llc,34 Lake Havasu Ave N,Lake Havasu City,AZ,86403,928-505-3278
Jimmy John's,"T&M Brothers Laveen Management, Llc",4920 W Baseline Rd,Laveen,AZ,85339,602-368-4999
Jimmy John's,T&M Brothers Cg Management Llc,20320 N John Wayne Pkwy,Maricopa,AZ,85139,520-340-6137
Jimmy John's,Bacus Foods Corp,350 W Baseline Rd,Mesa,AZ,85210,480-776-8222
Jimmy John's,Bacus Foods Corp,1229 S Power Rd,Mesa,AZ,85206,480-751-6688
Jimmy John's,Bacus Foods Corp,1730 W Southern Ave,Mesa,AZ,85202,480-833-3332
Jimmy John's,Bacus Foods Corp,68 E Main St,Mesa,AZ,85201,480-649-5555
Jimmy John's,"B & B Phoenix, Llc",5229 S Power Rd,Mesa,AZ,85212,480-279-2442
Jimmy John's,Bacus Foods Corp,4401 E McKellips Rd,Mesa,AZ,85215,480-981-3333
Jimmy John's,Bacus Foods Corp,1257 S Crismon Rd,Mesa,AZ,85209,480-912-7300
Jimmy John's,"Atlas Ngc, Inc.",303 E Hwy 260,Payson,AZ,85541,928-474-2221
Jimmy John's,"Gh Food Group, Llc",25101 N Lake Pleasant Pkwy,Peoria,AZ,85383,623-537-2233
Jimmy John's,"M & N T-Bird, Llc",13875 N 83rd Ave,Peoria,AZ,85381,623-773-9219
Jimmy John's,"Atlas 0519, Inc.",1650 E Camelback Rd,Phoenix,AZ,85016,602-264-1745
Jimmy John's,"Atlas 0519, Inc.",11 W Washington St,Phoenix,AZ,85003,602-688-8170
Jimmy John's,"Atlas 0519, Inc.",4716 E Cactus Rd,Phoenix,AZ,85032,602-710-2281
