brand,franchisee_name,raw_address,city,state,zip,restaurant_phone
Jamba,"Whirld Concepts, Inc.","10110 W. McDowell Rd., Ste. 120",Avondale,ARIZONA,85323,623.478.9250
Jamba,"Whirld Concepts, Inc.","3111 W Chandler Blvd, Ste K200",Chandler,ARIZONA,85226,480.722.1427
Jamba,"Sodexo Operations, Llc",NAU Student Union First Floor,Flagstaff,ARIZONA,86011,9285234636
Jamba,"Whirld Concepts, Inc.","1555 N. Gilbert Rd., Ste. B-106",Gilbert,ARIZONA,85234,480.632.9852
Jamba,"Whirld Concepts, Inc.","3765 S. Gilbert Rd., Ste. 104",Gilbert,ARIZONA,85296,480.782.0378
Jamba,"Whirld Concepts, Inc.",2811 S Market Street,Gilbert,ARIZONA,85295,480.722.1404
Jamba,"Whirld Concepts, Inc.",1753 North Higley Road,Gilbert,ARIZONA,85234,480-832-0843
Jamba,"Whirld Concepts, Inc.",7494 S Power Rd,Gilbert,ARIZONA,85297,480-306-7375
Jamba,"Aramark Food And Support Services Group, Inc.",4701 W. Thunderbird Rd,Glendale,ARIZONA,85306,602.543.5319
Jamba,"Whirld Concepts, Inc.","7700 W Arrowhead Towne Center, Space K-212",Glendale,ARIZONA,85308,623.878.0333
Jamba,"Whirld Concepts, Inc.","15479 W. McDowell Rd, #103",Goodyear,ARIZONA,85338,623-536-8446
Jamba,"Whirld Concepts, Inc.",TBD McDowell Road,Goodyear,ARIZONA,85395,623.234.8620
Jamba,"Whirld Concepts, Inc.","1653 S. Dobson Rd., #102",Mesa,ARIZONA,85202,480.491.4059
Jamba,"Whirld Concepts, Inc.","4972 S. Power Rd., Ste. 105",Mesa,ARIZONA,85212,480.840.3448
Jamba,"Whirld Concepts, Inc.","4401 East McKellips Rd., #106",Mesa,ARIZONA,85215,480.981.1416
Jamba,"Whirld Concepts, Inc.","7369 West Bell Rd, #2",Peoria,ARIZONA,85382,623.486.1400
Jamba,"Whirld Concepts, Inc.","3110 North Central Ave., #100",Phoenix,ARIZONA,85012,602.266.7153
Jamba,"Whirld Concepts, Inc.","4030 E. Thunderbird Rd., Ste. D",Phoenix,ARIZONA,85032,602.787.9852
Jamba,"Whirld Concepts, Inc.",4302 E. Ray Rd.,Phoenix,ARIZONA,85044,480.706.8500
Jamba,"Whirld Concepts, Inc.","4811 N. 16th St., #102",Phoenix,ARIZONA,85016,602.631.9000
Jamba,"Whirld Concepts, Inc.","245 East Bell Rd., #10",Phoenix,ARIZONA,85022,602.843.0472
Jamba,"Whirld Concepts, Inc.","3320 W. Bethany Home Rd., Ste. E-106",Phoenix,ARIZONA,85017,602.864.0950
Jamba,"Whirld Concepts, Inc.","2737 W. Thunderbird, Ste. 101",Phoenix,ARIZONA,85053,602.938.4545
Jamba,"Sodexo America, Llc",3300 West Camelback Rd,Phoenix,ARIZONA,85017,602.639.8412
Jamba,"Whirld Concepts, Inc.","2370 Happy Valley Rd, Ste 1065",Phoenix,ARIZONA,85085,623-434-4314
